file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java,com.airbnb.lottie.animation.content.BaseStrokeContent,class,46,58,1,62,6,9,0,6,2,0,0,0,0,0,14,0,0,12,1,0,13,0,24,293,4,13,11,0,12,17,48,60,45,46,3,0,1,0,95,1025
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\CompoundTrimPathContent.java,com.airbnb.lottie.animation.content.CompoundTrimPathContent,class,3,3,1,4,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,16,0,1,0,0,0,0,2,2,1,2,1,0,0,0,10,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\Content.java,com.airbnb.lottie.animation.content.Content,interface,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,7,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\ContentGroup.java,com.airbnb.lottie.animation.content.ContentGroup,class,26,46,1,47,0,14,2,9,1,0,0,0,0,0,9,0,0,9,0,0,7,0,2,190,11,10,2,0,5,1,25,37,12,35,3,0,0,0,72,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\DrawingContent.java,com.airbnb.lottie.animation.content.DrawingContent,interface,4,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,12,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\EllipseContent.java,com.airbnb.lottie.animation.content.EllipseContent,class,22,16,1,25,14,8,0,7,1,0,0,0,0,0,9,1,0,9,0,0,7,0,1,105,4,1,3,0,1,1,30,20,20,18,2,0,0,0,67,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\FillContent.java,com.airbnb.lottie.animation.content.FillContent,class,30,20,1,34,10,8,0,8,0,0,0,0,0,0,10,0,0,10,0,0,9,0,4,121,3,3,6,0,3,3,12,18,8,15,2,0,0,0,60,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\GradientFillContent.java,com.airbnb.lottie.animation.content.GradientFillContent,class,53,35,1,58,34,12,0,8,4,0,0,0,0,0,20,1,0,20,0,0,18,0,8,230,8,5,7,0,3,3,24,64,17,52,3,0,0,0,106,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\GradientStrokeContent.java,com.airbnb.lottie.animation.content.GradientStrokeContent,class,36,22,2,45,6,8,0,4,4,0,0,0,0,0,12,1,0,12,0,0,11,0,4,156,8,2,4,0,9,0,18,53,33,43,3,0,0,0,79,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\GreedyContent.java,com.airbnb.lottie.animation.content.GreedyContent,interface,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,51,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\KeyPathElementContent.java,com.airbnb.lottie.animation.content.KeyPathElementContent,interface,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,4,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\MergePathsContent.java,com.airbnb.lottie.animation.content.MergePathsContent,class,10,24,1,20,1,7,0,5,2,0,0,0,0,0,6,0,0,6,0,0,6,0,0,101,3,7,0,0,4,1,8,18,2,18,3,0,0,0,36,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\ModifierContent.java,com.airbnb.lottie.animation.content.ModifierContent,interface,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,2,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\PathContent.java,com.airbnb.lottie.animation.content.PathContent,interface,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,3,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\PolystarContent.java,com.airbnb.lottie.animation.content.PolystarContent,class,26,52,1,42,19,10,0,7,3,0,0,0,0,0,16,2,0,16,0,0,14,0,28,268,4,3,19,0,19,1,38,105,56,75,4,0,0,0,126,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\RectangleContent.java,com.airbnb.lottie.animation.content.RectangleContent,class,29,22,1,31,14,8,0,7,1,0,0,0,0,0,10,0,0,10,0,0,8,0,2,140,4,1,5,0,2,0,24,22,49,19,2,0,0,0,60,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\RepeaterContent.java,com.airbnb.lottie.animation.content.RepeaterContent,class,27,18,1,34,7,10,0,10,0,0,0,0,0,0,10,0,0,10,0,0,9,0,3,111,4,4,2,0,0,2,6,21,8,21,1,0,0,0,61,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\ShapeContent.java,com.airbnb.lottie.animation.content.ShapeContent,class,13,11,1,18,5,6,0,5,1,0,0,0,0,0,7,0,0,7,0,0,5,0,0,61,4,1,1,0,1,0,1,12,0,10,2,0,0,0,33,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\StrokeContent.java,com.airbnb.lottie.animation.content.StrokeContent,class,19,9,2,23,0,4,0,4,0,0,0,0,0,0,5,0,0,5,0,0,4,0,0,63,2,0,3,0,1,1,0,6,0,5,2,0,0,0,38,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\content\TrimPathContent.java,com.airbnb.lottie.animation.content.TrimPathContent,class,8,11,1,13,31,10,0,8,0,0,0,0,0,0,7,0,0,7,0,0,7,0,0,57,6,1,0,0,0,0,1,8,0,8,1,0,0,0,34,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\keyframe\BaseKeyframeAnimation.java,com.airbnb.lottie.animation.keyframe.BaseKeyframeAnimation,class,8,38,1,20,47,14,0,7,1,2,0,1,0,0,11,0,0,9,1,0,2,0,0,132,14,2,6,0,0,0,24,32,6,23,3,0,1,0,80,1025
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\keyframe\ColorKeyframeAnimation.java,com.airbnb.lottie.animation.keyframe.ColorKeyframeAnimation,class,7,8,3,8,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,4,0,2,0,0,1,2,3,0,3,2,0,0,0,23,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\keyframe\FloatKeyframeAnimation.java,com.airbnb.lottie.animation.keyframe.FloatKeyframeAnimation,class,6,8,3,9,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,4,0,2,0,0,1,0,1,0,1,2,0,0,0,19,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\keyframe\GradientColorKeyframeAnimation.java,com.airbnb.lottie.animation.keyframe.GradientColorKeyframeAnimation,class,5,3,3,3,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,17,1,0,1,0,0,0,2,3,0,3,0,0,0,0,13,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\keyframe\IntegerKeyframeAnimation.java,com.airbnb.lottie.animation.keyframe.IntegerKeyframeAnimation,class,6,8,3,9,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,4,0,2,0,0,1,0,1,0,1,2,0,0,0,20,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\keyframe\KeyframeAnimation.java,com.airbnb.lottie.animation.keyframe.KeyframeAnimation,class,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1024
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\keyframe\MaskKeyframeAnimation.java,com.airbnb.lottie.animation.keyframe.MaskKeyframeAnimation,class,7,5,1,8,0,4,0,4,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,31,3,1,0,0,0,0,1,5,0,5,1,0,0,0,14,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\keyframe\PathKeyframe.java,com.airbnb.lottie.animation.keyframe.PathKeyframe,class,7,5,2,3,0,3,0,2,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,27,1,0,0,0,0,0,0,3,0,3,1,0,0,0,22,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.7\lottie\src\main\java\com\airbnb\lottie\animation\keyframe\PathKeyframeAnimation.java,com.airbnb.lottie.animation.keyframe.PathKeyframeAnimation,class,10,6,3,8,1,2,0,2,0,0,0,0,0,0,4,0,0,4,0,0,2,0,0,37,3,0,1,0,0,0,3,7,1,7,2,0,0,0,17,1
