file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-cassandra\apache-cassandra-3.2\examples\hadoop_cql3_word_count\src\WordCount.java,WordCount,class,21,16,6,32,1,2,1,2,0,0,0,0,0,0,8,8,0,3,0,0,8,0,11,197,1,0,3,0,0,27,15,22,3,16,2,0,4,0,118,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-cassandra\apache-cassandra-3.2\examples\hadoop_cql3_word_count\src\WordCountCounters.java,WordCountCounters,class,18,7,5,23,1,2,1,2,0,0,0,0,0,0,4,4,0,2,0,0,4,0,7,123,1,0,1,0,0,13,6,8,1,7,1,0,3,0,91,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-cassandra\apache-cassandra-3.2\examples\hadoop_cql3_word_count\src\WordCountSetup.java,WordCountSetup,class,13,15,1,28,15,7,7,1,6,0,0,0,0,0,2,2,1,1,0,0,2,0,22,142,3,2,2,4,0,35,9,19,10,18,2,0,0,0,110,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-cassandra\apache-cassandra-3.2\examples\triggers\src\org\apache\cassandra\triggers\AuditTrigger.java,org.apache.cassandra.triggers.AuditTrigger,class,12,3,1,17,0,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,46,2,0,0,1,0,6,0,6,0,6,1,0,0,0,21,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-cassandra\apache-cassandra-3.2\interface\thrift\gen-java\org\apache\cassandra\thrift\AuthenticationException.java,org.apache.cassandra.thrift.AuthenticationException,class,17,60,4,32,267,30,3,27,2,0,0,0,0,0,8,5,2,6,0,0,7,0,5,299,26,1,7,2,2,11,7,25,2,17,2,0,4,0,136,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-cassandra\apache-cassandra-3.2\interface\thrift\gen-java\org\apache\cassandra\thrift\AuthenticationRequest.java,org.apache.cassandra.thrift.AuthenticationRequest,class,16,64,3,35,274,32,3,29,2,0,0,0,0,0,8,5,2,6,0,0,7,0,5,349,27,1,9,2,3,11,8,27,2,18,2,0,4,0,150,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-cassandra\apache-cassandra-3.2\interface\thrift\gen-java\org\apache\cassandra\thrift\AuthorizationException.java,org.apache.cassandra.thrift.AuthorizationException,class,17,60,4,32,267,30,3,27,2,0,0,0,0,0,8,5,2,6,0,0,7,0,5,299,26,1,7,2,2,11,7,25,2,17,2,0,4,0,138,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-cassandra\apache-cassandra-3.2\interface\thrift\gen-java\org\apache\cassandra\thrift\CASResult.java,org.apache.cassandra.thrift.CASResult,class,16,87,3,44,437,38,3,35,2,0,0,0,0,0,13,7,3,10,0,0,9,0,7,448,38,2,10,2,5,15,16,44,1,26,2,0,4,0,156,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-cassandra\apache-cassandra-3.2\interface\thrift\gen-java\org\apache\cassandra\thrift\Cassandra.java,org.apache.cassandra.thrift.Cassandra,class,187,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45543,0,0,0,0,0,0,0,0,0,0,-1,45,593,0,783,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-cassandra\apache-cassandra-3.2\interface\thrift\gen-java\org\apache\cassandra\thrift\cassandraConstants.java,org.apache.cassandra.thrift.cassandraConstants,class,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,29,0,0,0,0,0,1,0,1,0,1,-1,0,0,0,9,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-cassandra\apache-cassandra-3.2\interface\thrift\gen-java\org\apache\cassandra\thrift\CfDef.java,org.apache.cassandra.thrift.CfDef,class,19,977,3,242,21529,242,3,239,2,0,0,0,0,0,113,68,42,71,0,0,70,0,69,4235,434,3,77,2,88,239,258,547,3,246,2,0,4,0,280,1
