file,class,method,variable,usage
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AbstractContainedObject.java,org.apache.isis.applib.AbstractContainedObject,setContainer/1[org.apache.isis.applib.DomainObjectContainer],container,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AbstractContainedObject.java,org.apache.isis.applib.AbstractContainedObject,getContainer/0,container,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AbstractSubscriber.java,org.apache.isis.applib.AbstractSubscriber,postConstruct/0,eventBusService,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AbstractSubscriber.java,org.apache.isis.applib.AbstractSubscriber,preDestroy/0,eventBusService,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\adapters\AbstractValueSemanticsProvider.java,org.apache.isis.applib.adapters.AbstractValueSemanticsProvider,isImmutable/0,immutable,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\adapters\AbstractValueSemanticsProvider.java,org.apache.isis.applib.adapters.AbstractValueSemanticsProvider,isEqualByContent/0,equalByContent,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\adapters\AbstractValueSemanticsProvider.java,org.apache.isis.applib.adapters.AbstractValueSemanticsProvider,"AbstractValueSemanticsProvider/2[boolean,boolean]",immutable,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\adapters\AbstractValueSemanticsProvider.java,org.apache.isis.applib.adapters.AbstractValueSemanticsProvider,"AbstractValueSemanticsProvider/2[boolean,boolean]",equalByContent,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\AutoComplete.java,org.apache.isis.applib.annotation.AutoComplete$Candidate,"Candidate/2[java.lang.String,org.apache.isis.applib.services.bookmark.Bookmark]",bookmark,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\AutoComplete.java,org.apache.isis.applib.annotation.AutoComplete$Candidate,"Candidate/2[java.lang.String,org.apache.isis.applib.services.bookmark.Bookmark]",title,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\AutoComplete.java,org.apache.isis.applib.annotation.AutoComplete$Candidate,getTitle/0,title,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\AutoComplete.java,org.apache.isis.applib.annotation.AutoComplete$Candidate,getBookmark/0,bookmark,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,isRegular/0,REGULAR,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,getInvokedAs/0,invokedAs,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,bulkAction/1[java.util.List<java.lang.Object>],domainObjects,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,setIndex/1[int],index,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,getDomainObjects/0,domainObjects,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,"with/3[java.lang.Runnable,org.apache.isis.applib.annotation.Bulk.InteractionContext.InvokedAs,java.lang.Object[]]",invokedAs,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,"with/3[java.lang.Runnable,org.apache.isis.applib.annotation.Bulk.InteractionContext.InvokedAs,java.lang.Object[]]",domainObjects,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,setDomainObjects/1[java.util.List<java.lang.Object>],domainObjects,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,setInvokedAs/1[org.apache.isis.applib.annotation.Bulk.InteractionContext.InvokedAs],invokedAs,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,"InteractionContext/2[org.apache.isis.applib.annotation.Bulk.InteractionContext.InvokedAs,java.util.List<java.lang.Object>]",invokedAs,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,"InteractionContext/2[org.apache.isis.applib.annotation.Bulk.InteractionContext.InvokedAs,java.util.List<java.lang.Object>]",domainObjects,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,getSize/0,domainObjects,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,"with/2[java.lang.Runnable,java.lang.Object[]]",domainObjects,1
