file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.9.0\core\applib\src\main\java\org\apache\isis\applib\AbstractContainedObject.java,org.apache.isis.applib.AbstractContainedObject,class,13,36,1,35,624,36,0,1,0,35,0,0,0,0,1,0,0,1,0,0,0,0,0,128,30,0,0,0,0,0,0,1,0,1,0,0,0,0,178,1025
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.9.0\core\applib\src\main\java\org\apache\isis\applib\AbstractDomainObject.java,org.apache.isis.applib.AbstractDomainObject,class,3,7,1,8,21,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1025
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.9.0\core\applib\src\main\java\org\apache\isis\applib\AbstractFactoryAndRepository.java,org.apache.isis.applib.AbstractFactoryAndRepository,class,4,2,2,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1025
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.9.0\core\applib\src\main\java\org\apache\isis\applib\AbstractService.java,org.apache.isis.applib.AbstractService,class,3,2,1,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1025
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.9.0\core\applib\src\main\java\org\apache\isis\applib\AbstractSubscriber.java,org.apache.isis.applib.AbstractSubscriber,class,5,2,1,2,1,2,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,1025
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.9.0\core\applib\src\main\java\org\apache\isis\applib\AbstractViewModel.java,org.apache.isis.applib.AbstractViewModel,class,2,2,1,0,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,43,1025
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.9.0\core\applib\src\main\java\org\apache\isis\applib\adapters\AbstractValueSemanticsProvider.java,org.apache.isis.applib.adapters.AbstractValueSemanticsProvider,class,9,10,1,0,17,7,0,7,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,35,5,0,0,0,3,3,0,2,0,2,0,0,0,0,23,1025
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.9.0\core\applib\src\main\java\org\apache\isis\applib\adapters\DefaultsProvider.java,org.apache.isis.applib.adapters.DefaultsProvider,interface,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,82,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.9.0\core\applib\src\main\java\org\apache\isis\applib\adapters\EncoderDecoder.java,org.apache.isis.applib.adapters.EncoderDecoder,interface,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,98,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.9.0\core\applib\src\main\java\org\apache\isis\applib\adapters\EncodingException.java,org.apache.isis.applib.adapters.EncodingException,class,0,4,4,0,6,4,0,4,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,16,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,1
