file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,class,8,9,3,26,15,6,0,5,0,1,0,0,0,0,7,7,5,2,0,0,7,0,2,76,7,0,1,1,0,23,1,9,2,9,1,0,0,0,60,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\BSFAssertion.java,org.apache.jmeter.assertions.BSFAssertion,class,9,3,3,11,0,1,0,1,0,0,0,0,0,0,2,2,0,2,0,0,2,0,1,34,1,0,0,1,0,3,1,5,1,4,2,0,0,0,35,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\BSFAssertionBeanInfo.java,org.apache.jmeter.assertions.BSFAssertionBeanInfo,class,2,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,class,13,28,2,31,45,14,0,10,4,0,0,0,0,0,6,1,0,6,0,0,2,0,8,147,7,3,2,0,0,8,11,31,2,19,3,0,0,0,61,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\CompareAssertionBeanInfo.java,org.apache.jmeter.assertions.CompareAssertionBeanInfo,class,5,1,3,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,10,1,3,0,1,0,0,0,0,11,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\DurationAssertion.java,org.apache.jmeter.assertions.DurationAssertion,class,7,4,4,9,1,2,0,1,1,0,0,0,0,0,2,2,1,1,0,0,2,0,4,30,2,0,0,0,0,2,2,7,0,7,2,0,0,0,75,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\gui\AssertionGui.java,org.apache.jmeter.assertions.gui.AssertionGui,class,17,30,8,67,29,11,0,6,5,0,0,0,0,0,16,2,0,16,0,0,2,0,20,245,6,2,1,0,0,18,5,31,0,31,2,0,2,0,178,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\gui\BeanShellAssertionGui.java,org.apache.jmeter.assertions.gui.BeanShellAssertionGui,class,7,11,8,36,25,11,0,6,5,0,0,0,0,0,5,1,0,5,0,0,1,0,7,113,6,0,0,0,0,9,10,16,0,16,0,0,0,0,67,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\gui\DurationAssertionGui.java,org.apache.jmeter.assertions.gui.DurationAssertionGui,class,9,10,8,24,16,8,0,7,1,0,0,0,0,0,2,1,0,2,0,0,1,0,4,70,3,0,0,0,0,4,5,9,0,9,1,0,0,0,54,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\gui\HTMLAssertionGui.java,org.apache.jmeter.assertions.gui.HTMLAssertionGui,class,12,34,8,59,49,14,0,12,2,0,0,0,0,0,12,4,0,12,0,0,4,0,16,236,2,0,0,5,8,33,15,50,1,34,3,0,0,0,142,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\gui\MD5HexAssertionGUI.java,org.apache.jmeter.assertions.gui.MD5HexAssertionGUI,class,7,9,8,20,9,7,0,6,1,0,0,0,0,0,2,1,0,2,0,0,1,0,5,58,2,0,2,0,1,5,5,8,0,7,1,0,0,0,44,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\gui\SizeAssertionGui.java,org.apache.jmeter.assertions.gui.SizeAssertionGui,class,8,27,8,47,40,13,0,9,4,0,0,0,0,0,9,1,0,9,0,0,1,0,16,184,6,0,6,0,0,17,3,33,0,25,1,0,0,0,104,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\gui\SMIMEAssertionGui.java,org.apache.jmeter.assertions.gui.SMIMEAssertionGui,class,7,13,8,47,21,10,0,6,4,0,0,0,0,0,12,1,0,12,0,0,12,0,26,178,5,0,0,0,0,19,13,25,0,21,1,3,0,0,72,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\gui\XMLAssertionGui.java,org.apache.jmeter.assertions.gui.XMLAssertionGui,class,6,5,8,8,10,5,0,4,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,26,2,0,0,0,0,1,2,2,0,2,0,0,0,0,48,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-2.8\src\components\org\apache\jmeter\assertions\gui\XMLConfPanel.java,org.apache.jmeter.assertions.gui.XMLConfPanel,class,4,8,5,45,0,8,0,6,2,0,0,0,0,0,6,1,0,6,0,0,1,0,13,117,0,0,0,0,0,8,1,13,0,13,0,1,0,0,53,1
