file,class,method,variable,usage
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,isResetInterpreter/0,RESET_INTERPRETER,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,getParameters/0,PARAMETERS,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,getResult/1[org.apache.jmeter.samplers.SampleResult],log,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,getInitFileProperty/0,INIT_FILE,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,getScript/0,SCRIPT,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,getFilename/0,FILENAME,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\BSFAssertion.java,org.apache.jmeter.assertions.BSFAssertion,getResult/1[org.apache.jmeter.samplers.SampleResult],log,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,filterString/1[java.lang.String],emptySub,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,filterString/1[java.lang.String],stringsToSkip,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,iterationEnd/1[org.apache.jmeter.engine.event.LoopIterationEvent],responses,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,getResult/1[org.apache.jmeter.samplers.SampleResult],responses,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,getResult/1[org.apache.jmeter.samplers.SampleResult],compareContent,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,getResult/1[org.apache.jmeter.samplers.SampleResult],compareTime,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,setCompareContent/1[boolean],compareContent,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,setCompareTime/1[long],compareTime,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,getCompareTime/0,compareTime,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,compareContent/1[org.apache.jmeter.assertions.CompareAssertionResult],responses,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,compareContent/1[org.apache.jmeter.assertions.CompareAssertionResult],compareContent,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,getStringsToSkip/0,stringsToSkip,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,isCompareContent/0,compareContent,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,setStringsToSkip/1[java.util.Collection<org.apache.jmeter.assertions.SubstitutionElement>],stringsToSkip,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,compareTime/1[org.apache.jmeter.assertions.CompareAssertionResult],responses,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,compareTime/1[org.apache.jmeter.assertions.CompareAssertionResult],compareTime,4
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,iterationStart/1[org.apache.jmeter.engine.event.LoopIterationEvent],responses,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\DurationAssertion.java,org.apache.jmeter.assertions.DurationAssertion,getAllowedDuration/0,DURATION_KEY,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\gui\AssertionGui.java,org.apache.jmeter.assertions.gui.AssertionGui,checkButtonsStatus/0,deletePattern,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\gui\AssertionGui.java,org.apache.jmeter.assertions.gui.AssertionGui,checkButtonsStatus/0,tableModel,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\gui\AssertionGui.java,org.apache.jmeter.assertions.gui.AssertionGui,createTypePanel/0,equalsBox,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\gui\AssertionGui.java,org.apache.jmeter.assertions.gui.AssertionGui,createTypePanel/0,containsBox,4
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\gui\AssertionGui.java,org.apache.jmeter.assertions.gui.AssertionGui,createTypePanel/0,matchesBox,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\gui\AssertionGui.java,org.apache.jmeter.assertions.gui.AssertionGui,createTypePanel/0,substringBox,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\gui\AssertionGui.java,org.apache.jmeter.assertions.gui.AssertionGui,createTypePanel/0,notBox,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-jmeter\apache-jmeter-3.1\src\components\org\apache\jmeter\assertions\gui\AssertionGui.java,org.apache.jmeter.assertions.gui.AssertionGui,createStringPanel/0,COL_RESOURCE_NAME,1
