file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,class,7,12,11,21,19,10,1,9,0,0,0,0,0,0,5,1,0,0,0,0,0,0,6,129,4,1,0,0,3,16,11,19,8,19,1,0,3,0,178,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,class,18,17,1,32,0,13,1,12,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,140,0,0,0,0,0,35,3,15,7,15,2,0,1,0,33,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\EirikLygre\DailyFileAppender1.java,org.apache.log4j.DailyFileAppenderCalendar,class,7,16,6,19,37,10,0,9,0,1,0,0,0,1,4,1,1,3,0,0,1,0,3,94,4,0,1,2,0,6,6,10,3,6,2,0,1,0,178,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\JamesHouse\LogTextPanel.java,org.apache.log4j.gui.LogTextPanel,class,3,30,5,38,30,13,0,3,3,0,0,0,0,0,9,0,0,8,0,0,0,0,6,133,3,7,0,2,9,3,21,28,5,22,2,0,0,0,73,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\JamesHouse\LogTextPanelExample.java,org.apache.log4j.gui.examples.LogTextPanelExampleGenThread,class,7,22,7,31,0,6,1,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,8,94,0,1,1,2,3,24,19,15,16,13,2,0,2,0,29,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\JamesHouse\TextPanelAppender.java,org.apache.log4j.gui.EventBufferElement,class,10,24,3,21,27,10,0,8,0,1,0,0,0,0,17,0,3,0,0,0,9,0,2,153,4,2,1,0,2,12,9,28,3,21,2,0,2,0,76,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\Jamie Tsao\JMSQueueAppender.java,JMSQueueAppender,class,11,27,2,18,69,15,0,13,0,2,0,0,0,1,8,0,0,0,4,0,0,0,3,127,10,0,3,4,1,16,0,20,6,14,1,0,0,0,118,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\JimMoore\LoggingOutputStream.java,LoggingOutputStream,class,4,17,2,7,1,6,0,4,2,0,0,0,0,0,8,2,1,1,6,0,2,0,3,69,3,0,10,0,6,4,15,16,1,11,2,0,0,0,146,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\KevinSteppe\CompositeRollingAppender.java,org.apache.log4j.CompositeRollingAppender,class,9,82,4,40,321,31,2,23,0,7,0,0,0,1,31,13,0,3,11,0,13,0,29,338,10,4,5,3,9,33,35,92,42,59,4,0,0,0,394,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\KevinSteppe\JDBCTest.java,org.apache.log4j.varia.test.JDBCTest,class,4,3,1,16,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,64,0,0,0,2,0,24,14,4,0,4,1,0,0,0,18,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\KitchingSimon\DatagramStringAppender.java,org.apache.log4j.net.DatagramStringAppender,class,10,21,2,13,24,12,0,12,0,0,0,0,0,0,11,6,6,0,0,0,6,0,3,122,5,0,3,0,0,7,1,23,1,12,1,0,0,0,242,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\KitchingSimon\DatagramStringWriter.java,org.apache.log4j.net.DatagramStringWriter,class,4,14,2,8,14,9,0,9,0,0,0,0,0,0,7,1,0,6,0,0,1,0,4,94,0,0,1,2,0,5,1,12,3,9,1,0,0,0,110,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\KitchingSimon\SingleLineTracerPrintWriter.java,org.apache.log4j.helpers.SingleLineTracerPrintWriter,class,2,3,2,3,3,3,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1,1,1,1,0,0,0,0,91,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\LeosLiterak\TempFileAppender.java,org.apache.log4j.TempFileAppender,class,5,21,2,14,24,8,0,6,0,2,0,0,0,0,7,3,3,0,4,0,3,0,2,76,4,0,1,1,1,11,7,13,1,9,2,0,0,0,131,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\MarkDouglas\SocketNode2.java,com.systemsunion.LoggingServer.SocketNode2,class,3,11,1,12,0,2,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,67,0,1,2,3,0,6,1,10,2,7,3,0,0,0,69,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\MarkDouglas\SocketServer2.java,com.systemsunion.LoggingServer.SocketServer2,class,5,7,1,14,1,3,3,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,8,52,0,1,1,2,0,10,4,4,4,4,2,0,0,0,53,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\SvenReimers\gui\examples\TextPaneAppenderExample.java,org.apache.log4j.gui.examples.TextPaneAppenderExample,class,5,9,1,25,2,5,1,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,73,0,2,2,0,0,11,6,22,1,18,1,1,0,0,48,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\SvenReimers\gui\TextPaneAppender.java,org.apache.log4j.gui.TextPaneAppender,class,8,54,2,50,534,36,3,30,6,0,0,0,0,0,19,0,0,2,0,0,10,0,25,277,18,6,2,2,2,25,16,47,5,38,2,0,0,0,110,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\ThomasFenner\code_example1.java,Log4JTest,class,3,2,1,11,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,23,0,0,0,1,1,6,0,2,0,2,1,0,0,0,11,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\ThomasFenner\JDBCAppender.java,com.klopotek.utils.log.DefaultConnectionHandler,class,10,89,2,39,18,13,0,11,0,2,0,0,0,0,25,9,9,15,0,0,9,0,6,327,30,3,20,10,3,35,15,70,10,39,5,0,1,0,287,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\ThomasFenner\JDBCConnectionHandler.java,com.klopotek.utils.log.JDBCConnectionHandler,interface,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,34,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\ThomasFenner\JDBCIDHandler.java,com.klopotek.utils.log.JDBCIDHandler,interface,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,33,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\ThomasFenner\JDBCLogger.java,com.klopotek.utils.log.LogType,class,4,83,1,32,8,12,2,12,0,0,0,0,0,0,29,6,5,16,0,0,6,0,2,279,30,5,26,5,6,41,18,85,15,41,5,0,2,0,156,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\VolkerMentzner\HTTPRequestHandler.java,com.psibt.framework.net.HTTPRequestHandler,interface,0,7,1,0,21,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,78,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.16\contribs\VolkerMentzner\Log4jRequestHandler.java,com.psibt.framework.net.Log4jRequestHandler,class,5,23,2,32,1,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,128,3,6,3,3,2,58,5,26,14,20,5,0,0,0,112,1
