file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.3\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,actionPerformed/1[java.awt.event.ActionEvent],229,2,1,1,5,0,1,1,229,0,0,0,0,2,0,1,1,0,0,0,0,8,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.3\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,AppenderTableModel/1[int],169,1,1,0,3,0,0,1,169,0,0,0,0,0,0,1,0,0,0,0,0,7,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.3\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],56,4,3,12,32,1,13,1,56,1,0,0,2,13,9,13,7,1,0,0,0,54,9
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.3\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,AppenderTable/0,115,1,1,1,3,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,3,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.3\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,JTableAddAction/1[AppenderTable],224,1,1,0,3,0,0,1,224,0,0,0,0,0,0,1,0,0,0,0,0,6,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.3\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,getColumnCount/0,187,0,1,0,3,1,0,0,187,0,0,0,0,0,1,0,0,0,0,0,0,7,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.3\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,insert/1[org.apache.log4j.spi.LoggingEvent],178,2,1,2,4,0,0,1,178,0,0,0,0,0,0,0,0,0,0,0,0,24,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.3\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,getRowCount/0,195,1,1,1,3,1,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,23,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.3\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,"getValueAt/2[int,int]",208,2,1,1,3,1,0,2,208,0,0,0,0,0,0,0,0,0,0,0,0,43,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-log4j\apache-log4j-1.2.3\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,doAppend/1[org.apache.log4j.spi.LoggingEvent],126,2,1,2,3,0,0,1,126,0,0,0,1,0,0,0,0,0,0,0,0,44,1
