file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\apache-maven\src\test\java\org\apache\maven\settings\GlobalSettingsTest.java,org.apache.maven.settings.GlobalSettingsTest,class,2,1,2,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,1,0,4,0,3,0,3,1,0,0,0,29,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\Artifact.java,org.apache.maven.artifact.Artifact,interface,7,45,1,1,990,45,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,75,0,0,0,0,0,12,0,12,0,12,-1,0,0,0,84,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\ArtifactUtils.java,org.apache.maven.artifact.ArtifactUtils,class,6,26,1,50,66,12,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,135,15,3,1,0,1,10,2,7,4,5,2,0,0,0,42,17
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\DefaultArtifact.java,org.apache.maven.artifact.DefaultArtifact,class,11,95,1,51,1225,58,0,52,4,2,0,0,0,0,19,0,0,19,0,0,2,0,2,461,39,0,17,0,11,6,16,50,12,26,5,0,0,0,103,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\handler\ArtifactHandler.java,org.apache.maven.artifact.handler.ArtifactHandler,interface,1,7,1,1,21,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,22,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\InvalidArtifactRTException.java,org.apache.maven.artifact.InvalidArtifactRTException,class,1,9,4,2,2,9,0,9,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0,64,7,0,0,0,0,5,0,10,2,5,0,0,0,0,34,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\metadata\ArtifactMetadata.java,org.apache.maven.artifact.metadata.ArtifactMetadata,interface,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,4,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\repository\ArtifactRepository.java,org.apache.maven.artifact.repository.ArtifactRepository,interface,7,28,1,0,378,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,89,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\repository\ArtifactRepositoryPolicy.java,org.apache.maven.artifact.repository.ArtifactRepositoryPolicy,class,1,33,1,22,47,14,0,12,2,0,0,0,0,0,10,7,7,3,0,0,7,0,4,163,12,0,2,0,0,10,12,25,2,17,2,0,0,0,69,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\repository\Authentication.java,org.apache.maven.artifact.repository.Authentication,class,0,9,1,0,20,9,0,9,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,45,4,0,0,0,0,0,0,6,0,4,0,0,0,0,48,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\repository\layout\ArtifactRepositoryLayout.java,org.apache.maven.artifact.repository.layout.ArtifactRepositoryLayout,interface,4,4,1,1,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,18,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\repository\layout\ArtifactRepositoryLayout2.java,org.apache.maven.artifact.repository.layout.ArtifactRepositoryLayout2,interface,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,8,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\repository\metadata\RepositoryMetadataStoreException.java,org.apache.maven.artifact.repository.metadata.RepositoryMetadataStoreException,class,0,2,3,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\resolver\AbstractArtifactResolutionException.java,org.apache.maven.artifact.resolver.AbstractArtifactResolutionException,class,4,34,3,28,37,18,3,10,1,7,0,0,0,0,10,1,0,9,0,0,3,0,5,268,13,2,1,0,0,38,1,19,0,19,4,0,0,0,76,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\resolver\ArtifactNotFoundException.java,org.apache.maven.artifact.resolver.ArtifactNotFoundException,class,3,6,4,8,9,6,0,3,1,2,0,0,0,0,1,0,0,1,0,0,0,0,2,50,1,0,0,0,0,4,0,2,0,1,0,0,0,0,22,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\resolver\ArtifactResolutionException.java,org.apache.maven.artifact.resolver.ArtifactResolutionException,class,3,6,4,0,15,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\resolver\CyclicDependencyException.java,org.apache.maven.artifact.resolver.CyclicDependencyException,class,2,2,5,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\resolver\filter\ArtifactFilter.java,org.apache.maven.artifact.resolver.filter.ArtifactFilter,interface,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,8,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\resolver\MultipleArtifactsNotFoundException.java,org.apache.maven.artifact.resolver.MultipleArtifactsNotFoundException,class,5,7,5,14,2,5,1,4,1,0,0,0,0,0,2,0,0,2,0,0,2,0,2,62,3,1,0,0,1,9,3,6,1,6,1,0,0,0,60,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.5.2\maven-artifact\src\main\java\org\apache\maven\artifact\versioning\ArtifactVersion.java,org.apache.maven.artifact.versioning.ArtifactVersion,interface,1,6,1,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,29,1
