file,class,method,variable,usage
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.6.1\maven-artifact\src\main\java\org\apache\maven\artifact\DefaultArtifact.java,org.apache.maven.artifact.DefaultArtifact,setDependencyTrail/1[java.util.List<java.lang.String>],dependencyTrail,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.6.1\maven-artifact\src\main\java\org\apache\maven\artifact\DefaultArtifact.java,org.apache.maven.artifact.DefaultArtifact,getBaseVersionInternal/0,baseVersion,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.6.1\maven-artifact\src\main\java\org\apache\maven\artifact\DefaultArtifact.java,org.apache.maven.artifact.DefaultArtifact,getBaseVersionInternal/0,version,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.6.1\maven-artifact\src\main\java\org\apache\maven\artifact\DefaultArtifact.java,org.apache.maven.artifact.DefaultArtifact,setResolvedVersion/1[java.lang.String],version,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.6.1\maven-artifact\src\main\java\org\apache\maven\artifact\DefaultArtifact.java,org.apache.maven.artifact.DefaultArtifact,getRepository/0,repository,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.6.1\maven-artifact\src\main\java\org\apache\maven\artifact\DefaultArtifact.java,org.apache.maven.artifact.DefaultArtifact,setDependencyFilter/1[org.apache.maven.artifact.resolver.filter.ArtifactFilter],dependencyFilter,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.6.1\maven-artifact\src\main\java\org\apache\maven\artifact\DefaultArtifact.java,org.apache.maven.artifact.DefaultArtifact,setOptional/1[boolean],optional,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.6.1\maven-artifact\src\main\java\org\apache\maven\artifact\DefaultArtifact.java,org.apache.maven.artifact.DefaultArtifact,hashCode/0,groupId,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.6.1\maven-artifact\src\main\java\org\apache\maven\artifact\DefaultArtifact.java,org.apache.maven.artifact.DefaultArtifact,hashCode/0,classifier,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-maven\apache-maven-3.6.1\maven-artifact\src\main\java\org\apache\maven\artifact\DefaultArtifact.java,org.apache.maven.artifact.DefaultArtifact,hashCode/0,artifactId,1
