file,class,method,variable,usage
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,view/1[java.lang.Class<T>],inMemoryLists,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,close/0,metadata,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,close/0,inMemoryLists,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,"removeAllByIndexValues/3[java.lang.Class<T>,java.lang.String,java.util.Collection<?>]",inMemoryLists,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,write/1[java.lang.Object],inMemoryLists,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,"delete/2[java.lang.Class<?>,java.lang.Object]",inMemoryLists,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,"read/2[java.lang.Class<T>,java.lang.Object]",inMemoryLists,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,"count/3[java.lang.Class<?>,java.lang.String,java.lang.Object]",inMemoryLists,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,count/1[java.lang.Class<?>],inMemoryLists,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,getMetadata/1[java.lang.Class<T>],metadata,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,setMetadata/1[java.lang.Object],metadata,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreSerializer.java,org.apache.spark.util.kvstore.KVStoreSerializer,"deserialize/2[byte[],java.lang.Class<T>]",mapper,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreSerializer.java,org.apache.spark.util.kvstore.KVStoreSerializer,serialize/1[java.lang.Object],mapper,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreSerializer.java,org.apache.spark.util.kvstore.KVStoreSerializer,KVStoreSerializer/0,mapper,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreView.java,org.apache.spark.util.kvstore.KVStoreView,parent/1[java.lang.Object],parent,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreView.java,org.apache.spark.util.kvstore.KVStoreView,index/1[java.lang.String],index,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreView.java,org.apache.spark.util.kvstore.KVStoreView,last/1[java.lang.Object],last,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreView.java,org.apache.spark.util.kvstore.KVStoreView,skip/1[long],skip,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreView.java,org.apache.spark.util.kvstore.KVStoreView,reverse/0,ascending,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreView.java,org.apache.spark.util.kvstore.KVStoreView,max/1[long],max,5
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreView.java,org.apache.spark.util.kvstore.KVStoreView,first/1[java.lang.Object],first,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVTypeInfo.java,org.apache.spark.util.kvstore.KVTypeInfo,indices/0,indices,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVTypeInfo.java,org.apache.spark.util.kvstore.KVTypeInfo,getParentAccessor/1[java.lang.String],indices,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVTypeInfo.java,org.apache.spark.util.kvstore.KVTypeInfo,getAccessor/1[java.lang.String],accessors,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVTypeInfo.java,org.apache.spark.util.kvstore.KVTypeInfo,type/0,type,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVTypeInfo.java,org.apache.spark.util.kvstore.KVTypeInfo,"checkIndex/2[org.apache.spark.util.kvstore.KVIndex,java.util.Map<java.lang.String,org.apache.spark.util.kvstore.KVIndex>]",indices,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVTypeInfo.java,org.apache.spark.util.kvstore.KVTypeInfo,"checkIndex/2[org.apache.spark.util.kvstore.KVIndex,java.util.Map<java.lang.String,org.apache.spark.util.kvstore.KVIndex>]",type,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVTypeInfo.java,org.apache.spark.util.kvstore.KVTypeInfo,KVTypeInfo/1[java.lang.Class<?>],indices,9
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVTypeInfo.java,org.apache.spark.util.kvstore.KVTypeInfo,KVTypeInfo/1[java.lang.Class<?>],accessors,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVTypeInfo.java,org.apache.spark.util.kvstore.KVTypeInfo,KVTypeInfo/1[java.lang.Class<?>],length,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVTypeInfo.java,org.apache.spark.util.kvstore.KVTypeInfo,KVTypeInfo/1[java.lang.Class<?>],getParameterTypes,0
