file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\ArrayWrappers.java,org.apache.spark.util.kvstore.ArrayWrappers,forArray/1[java.lang.Object],40,7,4,5,18,1,1,1,40,0,0,0,0,1,0,4,0,1,0,0,0,9,9
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,asKey/1[java.lang.Object],130,1,2,3,6,1,0,1,130,0,0,0,0,1,0,1,0,1,0,0,0,4,10
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,view/1[java.lang.Class<T>],104,5,2,3,4,1,1,1,104,0,0,0,0,0,0,1,0,0,0,0,0,6,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,close/0,110,1,1,1,4,0,0,0,110,0,0,0,0,0,0,1,0,0,0,0,0,3,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,"removeAllByIndexValues/3[java.lang.Class<T>,java.lang.String,java.util.Collection<?>]",119,3,2,2,9,2,1,3,119,0,0,0,0,0,1,1,0,1,0,0,0,10,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,emptyView/0,138,3,1,0,3,1,0,0,138,0,0,0,0,1,0,0,0,0,0,0,0,2,10
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,write/1[java.lang.Object],91,1,1,1,3,0,0,1,91,0,0,0,0,0,0,0,0,0,0,0,0,4,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,"delete/2[java.lang.Class<?>,java.lang.Object]",96,3,2,2,6,0,1,2,96,0,0,0,0,0,0,1,0,1,0,0,0,6,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,"read/2[java.lang.Class<T>,java.lang.Object]",81,3,3,2,8,1,2,2,81,0,1,0,0,0,0,2,0,1,0,0,0,12,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,"count/3[java.lang.Class<?>,java.lang.String,java.lang.Object]",67,5,3,6,12,1,4,3,67,1,0,0,0,0,1,4,0,2,0,0,0,14,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,count/1[java.lang.Class<?>],61,3,2,2,4,1,1,1,61,0,0,0,0,0,1,1,0,0,0,0,0,4,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,getMetadata/1[java.lang.Class<T>],51,1,1,1,3,1,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,5,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,setMetadata/1[java.lang.Object],56,0,1,0,3,0,0,1,56,0,0,0,0,0,0,1,0,0,0,0,0,4,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStore.java,org.apache.spark.util.kvstore.KVStore,"removeAllByIndexValues/3[java.lang.Class<T>,java.lang.String,java.util.Collection<?>]",130,1,1,0,1,0,0,3,130,0,0,0,0,0,0,0,0,-1,0,0,0,18,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStore.java,org.apache.spark.util.kvstore.KVStore,getMetadata/1[java.lang.Class<T>],68,1,1,0,1,0,0,1,68,0,0,0,0,0,0,0,0,-1,0,0,0,33,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStore.java,org.apache.spark.util.kvstore.KVStore,count/1[java.lang.Class<?>],120,0,1,0,1,0,0,1,120,0,0,0,0,0,0,0,0,-1,0,0,0,11,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStore.java,org.apache.spark.util.kvstore.KVStore,"read/2[java.lang.Class<T>,java.lang.Object]",83,1,1,0,1,0,0,2,83,0,0,0,0,0,0,0,0,-1,0,0,0,25,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.3.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStore.java,org.apache.spark.util.kvstore.KVStore,write/1[java.lang.Object],92,0,1,0,1,0,0,1,92,0,0,0,0,0,0,0,0,-1,0,0,0,34,0
