file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\ArrayWrappers.java,org.apache.spark.util.kvstore.ArrayWrappers,class,7,4,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1,0,0,0,0,1,0,4,0,1,1,0,4,0,76,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\InMemoryStore.java,org.apache.spark.util.kvstore.InMemoryStore,class,13,21,2,19,4,12,2,10,2,0,0,0,0,0,2,0,0,2,0,0,0,0,4,302,9,1,1,0,0,2,3,14,0,12,2,0,5,6,197,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStore.java,org.apache.spark.util.kvstore.KVStore,interface,3,9,1,0,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,188,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreIterator.java,org.apache.spark.util.kvstore.KVStoreIterator,interface,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,38,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreSerializer.java,org.apache.spark.util.kvstore.KVStoreSerializer,class,5,7,1,7,4,5,0,3,0,0,0,0,4,0,1,0,0,0,1,0,1,0,2,42,6,0,0,2,1,1,0,4,0,4,2,0,0,0,75,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVStoreView.java,org.apache.spark.util.kvstore.KVStoreView,class,4,8,1,3,28,8,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,45,8,0,0,0,0,1,2,14,0,7,0,0,0,0,110,1025
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\KVTypeInfo.java,org.apache.spark.util.kvstore.KVTypeInfo,class,6,14,1,26,3,7,0,4,1,0,0,0,0,0,3,0,0,3,0,0,3,0,0,115,5,3,1,0,0,11,1,8,0,8,2,0,3,0,63,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\LevelDB.java,org.apache.spark.util.kvstore.LevelDB,class,19,40,1,53,115,18,0,12,2,0,0,0,0,0,8,4,0,4,0,0,8,0,1,257,12,4,7,6,0,8,1,48,0,41,4,1,2,0,178,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\LevelDBIterator.java,org.apache.spark.util.kvstore.LevelDBIterator,class,11,55,1,40,24,12,2,6,2,1,0,0,0,1,13,0,0,13,0,0,9,0,4,214,17,5,4,3,3,2,14,43,5,31,3,0,0,0,94,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\LevelDBTypeInfo.java,org.apache.spark.util.kvstore.LevelDBTypeInfo,class,5,13,1,9,12,8,0,0,0,0,0,0,0,0,13,9,0,8,0,0,11,0,2,287,7,2,0,0,0,1,9,25,3,18,2,0,1,2,315,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\main\java\org\apache\spark\util\kvstore\UnsupportedStoreVersionException.java,org.apache.spark.util.kvstore.UnsupportedStoreVersionException,class,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,16,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\test\java\org\apache\spark\util\kvstore\ArrayKeyIndexType.java,org.apache.spark.util.kvstore.ArrayKeyIndexType,class,3,3,1,3,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,20,3,0,0,0,0,1,0,1,0,3,1,0,0,0,13,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\test\java\org\apache\spark\util\kvstore\ArrayWrappersSuite.java,org.apache.spark.util.kvstore.ArrayWrappersSuite,class,4,1,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,0,0,0,0,0,5,16,6,0,6,0,0,0,0,16,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\test\java\org\apache\spark\util\kvstore\CustomType1.java,org.apache.spark.util.kvstore.CustomType1,class,2,4,1,5,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,35,4,0,0,0,0,9,0,1,0,6,1,0,0,0,18,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-spark\spark-2.4.1\common\kvstore\src\test\java\org\apache\spark\util\kvstore\DBIteratorSuite.java,org.apache.spark.util.kvstore.DBIteratorSuite,class,14,66,1,49,953,50,2,41,8,1,0,1,0,0,12,12,0,12,0,0,9,0,7,381,8,4,0,1,3,42,14,92,11,62,2,0,1,10,153,1025
