file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.1.4\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\StatefulWordCounter.java,org.apache.storm.flux.examples.StatefulWordCounter,class,9,4,2,6,2,4,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,36,0,0,0,0,0,3,2,4,0,4,0,0,0,0,25,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.1.4\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\TestPrintBolt.java,org.apache.storm.flux.examples.TestPrintBolt,class,4,2,3,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.1.4\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\TestWindowBolt.java,org.apache.storm.flux.examples.TestWindowBolt,class,8,3,2,4,1,3,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,24,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.1.4\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\WordCountClient.java,org.apache.storm.flux.examples.WordCountClient,class,5,4,1,13,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,2,1,0,0,15,3,10,2,10,2,0,0,0,66,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.1.4\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\WordCounter.java,org.apache.storm.flux.examples.WordCounter,class,10,5,3,6,10,5,0,5,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,30,1,0,0,0,0,3,2,1,0,1,0,0,0,0,57,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.1.4\examples\storm-elasticsearch-examples\src\main\java\org\apache\storm\elasticsearch\bolt\EsIndexTopology.java,org.apache.storm.elasticsearch.bolt.EsIndexTopology,class,10,1,3,13,0,1,1,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,5,90,0,0,0,0,0,6,6,9,0,9,0,0,1,0,72,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.1.4\examples\storm-elasticsearch-examples\src\main\java\org\apache\storm\elasticsearch\common\EsConstants.java,org.apache.storm.elasticsearch.common.EsConstants,class,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1,-1,0,0,0,4,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.1.4\examples\storm-elasticsearch-examples\src\main\java\org\apache\storm\elasticsearch\common\EsTestUtil.java,org.apache.storm.elasticsearch.common.EsTestUtil,class,10,5,1,9,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,3,0,0,1,0,6,5,3,1,3,1,1,0,0,36,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.1.4\examples\storm-elasticsearch-examples\src\main\java\org\apache\storm\elasticsearch\trident\TridentEsTopology.java,org.apache.storm.elasticsearch.trident.TridentEsTopology,class,13,1,1,12,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,5,101,0,0,0,0,0,8,4,11,0,11,0,0,1,0,71,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.1.4\examples\storm-hbase-examples\src\main\java\org\apache\storm\hbase\topology\LookupWordCount.java,org.apache.storm.hbase.topology.LookupWordCount,class,13,4,1,19,0,1,1,1,0,0,0,0,0,0,3,3,0,3,0,0,3,0,3,49,0,0,2,0,0,14,10,13,0,13,1,0,0,0,51,1
