file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.2.2\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\StatefulWordCounter.java,org.apache.storm.flux.examples.StatefulWordCounter,"prepare/3[java.util.Map,org.apache.storm.task.TopologyContext,org.apache.storm.task.OutputCollector]",39,2,1,0,3,0,0,3,39,0,0,0,0,1,0,1,0,0,0,0,0,3,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.2.2\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\StatefulWordCounter.java,org.apache.storm.flux.examples.StatefulWordCounter,execute/1[org.apache.storm.tuple.Tuple],49,5,1,5,8,0,2,1,49,0,0,0,0,0,2,2,0,0,0,0,0,7,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.2.2\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\StatefulWordCounter.java,org.apache.storm.flux.examples.StatefulWordCounter,declareOutputFields/1[org.apache.storm.topology.OutputFieldsDeclarer],61,2,1,1,3,0,0,1,61,0,0,0,0,2,0,0,0,0,0,0,0,5,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.2.2\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\StatefulWordCounter.java,org.apache.storm.flux.examples.StatefulWordCounter,"initState/1[org.apache.storm.state.KeyValueState<java.lang.String,java.lang.Long>]",44,1,1,0,3,0,0,1,44,0,0,0,0,0,0,1,0,0,0,0,0,5,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.2.2\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\TestPrintBolt.java,org.apache.storm.flux.examples.TestPrintBolt,declareOutputFields/1[org.apache.storm.topology.OutputFieldsDeclarer],37,1,1,0,2,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,5,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.2.2\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\TestPrintBolt.java,org.apache.storm.flux.examples.TestPrintBolt,"execute/2[org.apache.storm.tuple.Tuple,org.apache.storm.topology.BasicOutputCollector]",32,2,1,1,3,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,4,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.2.2\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\TestWindowBolt.java,org.apache.storm.flux.examples.TestWindowBolt,"prepare/3[java.util.Map,org.apache.storm.task.TopologyContext,org.apache.storm.task.OutputCollector]",35,2,1,0,3,0,0,3,35,0,0,0,0,0,0,1,0,0,0,0,0,3,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.2.2\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\TestWindowBolt.java,org.apache.storm.flux.examples.TestWindowBolt,execute/1[org.apache.storm.windowing.TupleWindow],40,4,1,3,3,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,5,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.2.2\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\TestWindowBolt.java,org.apache.storm.flux.examples.TestWindowBolt,declareOutputFields/1[org.apache.storm.topology.OutputFieldsDeclarer],45,2,1,1,3,0,0,1,45,0,0,0,0,1,0,0,0,0,0,0,0,5,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-storm\apache-storm-1.2.2\examples\flux-examples\src\main\java\org\apache\storm\flux\examples\WordCountClient.java,org.apache.storm.flux.examples.WordCountClient,main/1[java.lang.String[]],49,5,4,13,27,0,10,1,49,2,1,0,0,15,3,10,2,2,0,0,0,36,9
