file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.22\tika-app\src\main\java\org\apache\tika\batch\builders\AppParserFactoryBuilder.java,org.apache.tika.batch.builders.AppParserFactoryBuilder,"buildDigester/1[java.util.Map<java.lang.String,java.lang.String>]",58,3,5,3,25,2,3,1,58,0,1,3,0,8,1,4,3,2,0,0,0,27,2
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.22\tika-app\src\main\java\org\apache\tika\batch\builders\AppParserFactoryBuilder.java,org.apache.tika.batch.builders.AppParserFactoryBuilder,"build/2[org.w3c.dom.Node,java.util.Map<java.lang.String,java.lang.String>]",35,7,5,9,22,1,5,2,35,0,0,0,1,6,0,5,1,2,0,0,0,26,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.22\tika-app\src\main\java\org\apache\tika\batch\DigestingAutoDetectParserFactory.java,org.apache.tika.batch.DigestingAutoDetectParserFactory,getParser/1[org.apache.tika.config.TikaConfig],31,4,2,0,8,2,2,1,31,0,1,0,0,0,0,2,0,1,0,0,0,12,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.22\tika-app\src\main\java\org\apache\tika\batch\DigestingAutoDetectParserFactory.java,org.apache.tika.batch.DigestingAutoDetectParserFactory,setDigester/1[org.apache.tika.parser.DigestingParser.Digester],40,1,1,0,3,0,0,1,40,0,0,0,0,0,0,1,0,0,0,0,0,3,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.22\tika-app\src\main\java\org\apache\tika\cli\BatchCommandLineBuilder.java,org.apache.tika.cli.BatchCommandLineBuilder,"translateCommandLine/2[java.lang.String[],java.util.Map<java.lang.String,java.lang.String>]",152,0,26,9,62,0,9,2,152,1,3,0,2,55,7,9,1,2,0,0,0,33,10
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.22\tika-app\src\main\java\org\apache\tika\cli\BatchCommandLineBuilder.java,org.apache.tika.cli.BatchCommandLineBuilder,"mapifyArgs/3[java.lang.String[],java.util.Map<java.lang.String,java.lang.String>,java.util.Map<java.lang.String,java.lang.String>]",124,0,9,6,26,1,6,3,124,1,1,0,0,6,10,8,7,3,0,0,0,39,10
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.22\tika-app\src\main\java\org\apache\tika\cli\BatchCommandLineBuilder.java,org.apache.tika.cli.BatchCommandLineBuilder,build/1[java.lang.String[]],46,1,12,16,43,1,6,1,46,3,0,0,0,11,2,8,0,2,0,0,0,26,12
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.22\tika-app\src\main\java\org\apache\tika\cli\BatchCommandLineBuilder.java,org.apache.tika.cli.BatchCommandLineBuilder,commandLineSafe/1[java.lang.String],102,0,4,1,9,2,0,1,102,0,1,0,0,3,0,1,1,1,0,0,0,5,12
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.22\tika-app\src\main\java\org\apache\tika\cli\TikaCLI.java,org.apache.tika.cli.TikaCLI,main/1[java.lang.String[]],130,3,9,12,35,2,4,1,130,1,1,0,0,4,5,4,0,2,0,0,0,16,9
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.22\tika-app\src\main\java\org\apache\tika\cli\TikaCLI.java,org.apache.tika.cli.TikaCLI,testForHelp/1[java.lang.String[]],660,0,4,1,8,2,0,1,660,1,0,0,0,2,0,0,0,2,0,0,0,7,2
