file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-app\src\main\java\org\apache\tika\cli\BatchCommandLineBuilder.java,org.apache.tika.cli.BatchCommandLineBuilder,class,1,46,1,24,3,3,3,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,4,143,2,5,4,0,2,86,19,25,9,21,3,0,0,0,100,0
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-app\src\main\java\org\apache\tika\cli\TikaCLI.java,org.apache.tika.cli.TikaCLI,class,36,175,5,122,163,23,4,3,20,0,0,0,0,0,27,1,0,27,0,0,12,0,20,1009,18,20,6,5,21,212,26,134,21,84,6,17,6,0,434,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-app\src\main\java\org\apache\tika\gui\ParsingTransferHandler.java,org.apache.tika.gui.ParsingTransferHandler,class,2,23,2,16,8,9,1,7,2,0,0,0,0,0,5,3,0,5,0,0,3,0,1,93,7,3,0,3,0,5,1,9,0,9,2,0,0,0,76,0
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-app\src\main\java\org\apache\tika\gui\TikaGUI.java,org.apache.tika.gui.TikaGUI,class,21,46,7,93,121,18,1,6,12,0,0,0,0,0,14,1,0,14,0,0,14,0,16,496,6,1,2,10,0,80,21,61,7,57,3,2,2,0,314,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-app\src\test\java\org\apache\tika\cli\TikaCLIBatchCommandLineTest.java,org.apache.tika.cli.TikaCLIBatchCommandLineTest,class,6,24,1,18,0,9,0,8,1,0,0,0,0,0,2,0,0,0,0,0,0,0,10,170,1,2,0,3,0,79,8,58,10,41,3,0,0,0,73,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-app\src\test\java\org\apache\tika\cli\TikaCLIBatchIntegrationTest.java,org.apache.tika.cli.TikaCLIBatchIntegrationTest,class,8,8,1,23,0,7,1,7,0,0,0,0,0,0,5,0,0,5,0,0,0,0,19,102,2,0,0,1,0,33,3,19,1,15,1,0,0,0,50,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-app\src\test\java\org\apache\tika\cli\TikaCLITest.java,org.apache.tika.cli.TikaCLITest,class,5,29,1,27,0,24,1,23,0,1,0,0,0,0,6,0,0,6,0,0,0,0,29,238,0,1,0,2,0,110,10,53,26,49,2,0,0,0,143,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\AutoDetectParserFactory.java,org.apache.tika.batch.AutoDetectParserFactory,class,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\BatchNoRestartError.java,org.apache.tika.batch.BatchNoRestartError,class,0,2,3,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\BatchProcess.java,org.apache.tika.batch.BatchProcess,class,18,73,1,61,46,16,0,6,10,0,0,0,0,0,13,1,0,13,0,0,7,0,3,421,19,8,9,9,2,37,30,75,23,47,5,2,3,0,285,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\BatchProcessDriverCLI.java,org.apache.tika.batch.BatchProcessDriverCLI,class,6,37,2,30,25,11,1,6,5,0,0,0,0,0,21,4,3,18,0,0,6,0,4,286,6,3,5,5,1,39,16,44,19,33,3,0,4,0,189,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\AbstractConsumersBuilder.java,org.apache.tika.batch.builders.AbstractConsumersBuilder,class,3,3,1,2,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,1,0,3,1,1,1,0,0,0,0,11,1025
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\BatchProcessBuilder.java,org.apache.tika.batch.builders.BatchProcessBuilder,class,17,33,1,47,34,9,1,3,6,0,0,0,0,0,3,3,3,0,0,0,3,0,22,181,11,2,6,4,0,20,10,57,0,44,2,0,0,0,151,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\CommandLineParserBuilder.java,org.apache.tika.batch.builders.CommandLineParserBuilder,class,9,24,1,23,6,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108,11,2,7,1,0,12,6,27,0,24,2,0,0,0,84,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\DefaultContentHandlerFactoryBuilder.java,org.apache.tika.batch.builders.DefaultContentHandlerFactoryBuilder,class,6,10,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,1,0,1,1,0,10,1,15,0,5,2,0,0,0,35,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\IContentHandlerFactoryBuilder.java,org.apache.tika.batch.builders.IContentHandlerFactoryBuilder,interface,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,8,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\ICrawlerBuilder.java,org.apache.tika.batch.builders.ICrawlerBuilder,interface,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,8,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\InterrupterBuilder.java,org.apache.tika.batch.builders.InterrupterBuilder,class,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\ObjectFromDOMAndQueueBuilder.java,org.apache.tika.batch.builders.ObjectFromDOMAndQueueBuilder,interface,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,16,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\ObjectFromDOMBuilder.java,org.apache.tika.batch.builders.ObjectFromDOMBuilder,interface,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,18,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\ReporterBuilder.java,org.apache.tika.batch.builders.ReporterBuilder,interface,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,10,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\SimpleLogReporterBuilder.java,org.apache.tika.batch.builders.SimpleLogReporterBuilder,class,7,1,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,0,0,0,0,2,2,4,0,4,0,0,0,0,20,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\builders\StatusReporterBuilder.java,org.apache.tika.batch.builders.StatusReporterBuilder,interface,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,12,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\ConsumersManager.java,org.apache.tika.batch.ConsumersManager,class,1,6,1,1,11,6,0,6,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,23,2,0,0,0,0,0,1,3,0,2,0,0,0,0,53,1025
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.8\tika-batch\src\main\java\org\apache\tika\batch\FileConsumerFutureResult.java,org.apache.tika.batch.FileConsumerFutureResult,class,2,3,1,0,0,3,0,3,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,15,2,0,0,0,0,0,0,2,0,2,0,0,0,0,13,0
