file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,isResetInterpreter/0,70,1,1,1,3,1,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,15,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,getResult/1[org.apache.jmeter.samplers.SampleResult],78,5,5,24,42,2,2,1,78,0,1,1,0,18,0,2,2,2,0,0,0,27,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,getScript/0,55,1,1,1,3,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,11,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,getFilename/0,60,1,1,1,3,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,12,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,getInitFileProperty/0,50,0,1,0,3,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,11,4
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\BeanShellAssertion.java,org.apache.jmeter.assertions.BeanShellAssertion,getParameters/0,65,1,1,1,3,1,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,12,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\BSFAssertion.java,org.apache.jmeter.assertions.BSFAssertion,clone/0,61,0,1,1,3,1,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,2,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\BSFAssertion.java,org.apache.jmeter.assertions.BSFAssertion,getResult/1[org.apache.jmeter.samplers.SampleResult],36,5,4,11,25,1,2,1,36,0,0,1,0,3,0,3,0,2,0,0,0,23,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\BSFAssertionBeanInfo.java,org.apache.jmeter.assertions.BSFAssertionBeanInfo,BSFAssertionBeanInfo/0,25,1,1,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,6,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,getStringsToSkip/0,197,1,1,0,3,1,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,7,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,"appendResultDetails/2[java.lang.StringBuilder,org.apache.jmeter.samplers.SampleResult]",132,1,3,4,12,0,2,2,132,0,0,0,0,2,0,2,0,1,0,0,0,11,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,getResult/1[org.apache.jmeter.samplers.SampleResult],55,5,2,5,12,2,1,1,55,0,0,0,0,0,1,1,0,1,0,0,0,11,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,CompareAssertion/0,50,0,1,0,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,2,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,isCompareContent/0,167,0,1,0,3,1,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,6,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,getCompareTime/0,182,0,1,0,3,1,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,6,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,setCompareContent/1[boolean],175,0,1,0,3,0,0,1,175,0,0,0,0,0,0,1,0,0,0,0,0,6,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,compareContent/1[org.apache.jmeter.assertions.CompareAssertionResult],101,5,5,12,30,0,5,1,101,1,0,0,0,1,2,9,0,3,0,0,0,20,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,filterString/1[java.lang.String],145,2,4,8,13,2,1,1,145,1,1,0,0,0,0,2,0,2,0,0,0,11,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,setCompareTime/1[long],190,0,1,0,3,0,0,1,190,0,0,0,0,0,0,1,0,0,0,0,0,6,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,setStringsToSkip/1[java.util.Collection<org.apache.jmeter.assertions.SubstitutionElement>],205,1,1,0,3,0,0,1,205,0,0,0,0,0,0,1,0,0,0,0,0,7,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,compareTime/1[org.apache.jmeter.assertions.CompareAssertionResult],67,5,5,12,30,0,5,1,67,1,0,0,0,4,5,9,2,3,0,0,0,19,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertion.java,org.apache.jmeter.assertions.CompareAssertion,iterationStart/1[org.apache.jmeter.engine.event.LoopIterationEvent],160,2,1,0,3,0,0,1,160,0,0,0,0,0,0,1,0,0,0,0,0,7,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\CompareAssertionBeanInfo.java,org.apache.jmeter.assertions.CompareAssertionBeanInfo,CompareAssertionBeanInfo/0,30,5,1,7,21,0,1,0,30,0,0,0,0,10,1,3,0,0,0,0,0,10,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\DurationAssertion.java,org.apache.jmeter.assertions.DurationAssertion,setAllowedDuration/1[long],78,1,1,1,3,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,8,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\Apache_Jmeter_versions\jmeter-5.1.1\src\components\org\apache\jmeter\assertions\DurationAssertion.java,org.apache.jmeter.assertions.DurationAssertion,getResult/1[org.apache.jmeter.samplers.SampleResult],46,5,3,8,15,1,5,1,46,0,0,0,0,1,1,5,0,2,0,0,0,38,1
