name,version,n_clusters,affinity,linkage,n_MoJo,mojoFM
apache-storm,1.1.0,50,euclidean,complete,1600,22.141119221411188
apache-storm,1.1.0,50,euclidean,average,1622,21.070559610705597
apache-storm,1.1.0,50,euclidean,single,1571,23.55231143552311
apache-storm,1.1.0,50,l1,complete,1611,21.60583941605839
apache-storm,1.1.0,50,l1,average,1606,21.84914841849148
apache-storm,1.1.0,50,l1,single,1605,21.897810218978098
apache-storm,1.1.0,50,l2,complete,1600,22.141119221411188
apache-storm,1.1.0,50,l2,average,1623,21.02189781021898
apache-storm,1.1.0,50,l2,single,1571,23.55231143552311
apache-storm,1.1.0,50,manhattan,complete,1611,21.60583941605839
apache-storm,1.1.0,50,manhattan,average,1607,21.800486618004868
apache-storm,1.1.0,50,manhattan,single,1607,21.800486618004868
apache-storm,1.1.0,50,cosine,complete,1585,22.87104622871047
apache-storm,1.1.0,50,cosine,average,1594,22.433090024330905
apache-storm,1.1.0,50,cosine,single,1570,23.600973236009736
apache-storm,1.1.0,100,euclidean,complete,1605,21.897810218978098
apache-storm,1.1.0,100,euclidean,average,1658,19.318734793187353
apache-storm,1.1.0,100,euclidean,single,1569,23.649635036496353
apache-storm,1.1.0,100,l1,complete,1614,21.459854014598545
apache-storm,1.1.0,100,l1,average,1603,21.99513381995134
apache-storm,1.1.0,100,l1,single,1600,22.141119221411188
apache-storm,1.1.0,100,l2,complete,1603,21.99513381995134
apache-storm,1.1.0,100,l2,average,1657,19.36739659367397
apache-storm,1.1.0,100,l2,single,1568,23.69829683698297
apache-storm,1.1.0,100,manhattan,complete,1611,21.60583941605839
apache-storm,1.1.0,100,manhattan,average,1608,21.75182481751825
apache-storm,1.1.0,100,manhattan,single,1602,22.043795620437955
apache-storm,1.1.0,100,cosine,complete,1607,21.800486618004868
apache-storm,1.1.0,100,cosine,average,1642,20.097323600973237
apache-storm,1.1.0,100,cosine,single,1571,23.55231143552311
apache-storm,1.1.0,150,euclidean,complete,1588,22.72506082725061
apache-storm,1.1.0,150,euclidean,average,1609,21.703163017031635
apache-storm,1.1.0,150,euclidean,single,1572,23.503649635036496
apache-storm,1.1.0,150,l1,complete,1592,22.530413625304135
apache-storm,1.1.0,150,l1,average,1582,23.017031630170315
apache-storm,1.1.0,150,l1,single,1582,23.017031630170315
apache-storm,1.1.0,150,l2,complete,1588,22.72506082725061
apache-storm,1.1.0,150,l2,average,1609,21.703163017031635
apache-storm,1.1.0,150,l2,single,1572,23.503649635036496
apache-storm,1.1.0,150,manhattan,complete,1592,22.530413625304135
apache-storm,1.1.0,150,manhattan,average,1583,22.9683698296837
apache-storm,1.1.0,150,manhattan,single,1583,22.9683698296837
apache-storm,1.1.0,150,cosine,complete,1598,22.238442822384428
apache-storm,1.1.0,150,cosine,average,1609,21.703163017031635
apache-storm,1.1.0,150,cosine,single,1572,23.503649635036496
apache-storm,1.1.1,50,euclidean,complete,1606,21.84914841849148
apache-storm,1.1.1,50,euclidean,average,1634,20.486618004866173
apache-storm,1.1.1,50,euclidean,single,1574,23.406326034063262
apache-storm,1.1.1,50,l1,complete,1622,21.070559610705597
apache-storm,1.1.1,50,l1,average,1618,21.26520681265207
apache-storm,1.1.1,50,l1,single,1612,21.557177615571778
apache-storm,1.1.1,50,l2,complete,1607,21.800486618004868
apache-storm,1.1.1,50,l2,average,1637,20.340632603406327
apache-storm,1.1.1,50,l2,single,1575,23.357664233576646
apache-storm,1.1.1,50,manhattan,complete,1624,20.973236009732364
apache-storm,1.1.1,50,manhattan,average,1622,21.070559610705597
apache-storm,1.1.1,50,manhattan,single,1613,21.50851581508516
apache-storm,1.1.1,50,cosine,complete,1600,22.141119221411188
apache-storm,1.1.1,50,cosine,average,1609,21.703163017031635
apache-storm,1.1.1,50,cosine,single,1579,23.163017031630172
apache-storm,1.1.1,100,euclidean,complete,1618,21.26520681265207
apache-storm,1.1.1,100,euclidean,average,1663,19.075425790754252
apache-storm,1.1.1,100,euclidean,single,1580,23.114355231143556
apache-storm,1.1.1,100,l1,complete,1625,20.92457420924574
apache-storm,1.1.1,100,l1,average,1619,21.216545012165454
apache-storm,1.1.1,100,l1,single,1619,21.216545012165454
apache-storm,1.1.1,100,l2,complete,1618,21.26520681265207
apache-storm,1.1.1,100,l2,average,1663,19.075425790754252
apache-storm,1.1.1,100,l2,single,1580,23.114355231143556
apache-storm,1.1.1,100,manhattan,complete,1626,20.875912408759124
apache-storm,1.1.1,100,manhattan,average,1619,21.216545012165454
