Instance,abstractMethods_max,abstractMethods_mean,defaultMethods_sum,anonymousClassesQty_sum,cbo_max,cbo_sum,comparisonsQty_max,defaultMethods_max,cbo_mean,Label
apache-storm_1.1.1,12,12,0,368,188,13675,47,0,188,euclidean
apache-storm_1.1.2,12,12,0,373,188,13930,47,0,188,cosine
apache-storm_1.1.3,12,12,0,377,188,13974,47,0,188,cosine
apache-storm_1.1.4,12,12,0,377,188,13975,47,0,188,cosine
apache-storm_1.2.0,12,12,0,377,188,14345,47,0,188,cosine
apache-storm_1.2.1,12,12,0,377,188,14346,47,0,188,cosine
apache-storm_1.2.2,12,12,0,385,188,14420,47,0,188,cosine
apache-storm_1.2.3,12,12,0,386,74,13993,48,0,74,cosine
apache-storm_2.0.0,14,14,24,376,171,18412,77,4,171,cosine
apache-cassandra_3.11.4,18,18,55,986,187,25267,77,10,187,euclidean
apache-cassandra_3.2,15,15,21,786,187,19845,77,4,187,euclidean
apache-cassandra_3.2.1,15,15,21,786,187,19845,77,4,187,euclidean
apache-cassandra_3.3,15,15,21,796,187,19964,77,4,187,euclidean
apache-cassandra_3.4,15,15,25,912,187,21509,77,4,187,euclidean
apache-cassandra_3.5,15,15,25,915,187,21649,77,4,187,euclidean
apache-cassandra_3.6,15,15,37,928,187,22082,77,10,187,euclidean
apache-cassandra_3.7,16,16,37,928,187,22217,77,10,187,euclidean
apache-cassandra_3.8,17,17,39,938,187,22637,77,10,187,euclidean
airbnb-lottie-android_2.6.1,1,1,0,50,50,1621,30,0,50,l2
airbnb-lottie-android_2.7.0,1,1,0,49,50,1619,30,0,50,cosine
airbnb-lottie-android_3.0.1,1,1,0,49,53,1618,37,0,53,cosine
airbnb-lottie-android_3.0.2,1,1,0,49,53,1630,37,0,53,l2
airbnb-lottie-android_3.0.3,1,1,0,49,53,1631,37,0,53,l2
airbnb-lottie-android_3.0.4,14,14,0,52,53,1702,108,0,53,l1
airbnb-lottie-android_3.0.5,14,14,0,52,53,1702,108,0,53,l2
airbnb-lottie-android_3.0.6,14,14,0,52,53,1702,108,0,53,euclidean
apache-isis_1.15.1,26,26,0,1001,191,24432,30,0,191,cosine
apache-isis_1.16.0,26,26,0,1039,191,25036,31,0,191,euclidean
apache-isis_1.16.1,26,26,0,1054,193,25463,31,0,193,cosine
apache-isis_1.16.2,26,26,0,1056,193,25577,31,0,193,cosine
apache-isis_1.17.0,26,26,0,1084,182,25810,31,0,182,cosine
apache-isis_1.6.0,21,21,0,1181,199,35581,28,0,199,cosine
apache-isis_1.7.0,21,21,0,1165,205,35289,28,0,205,cosine
apache-isis_1.8.0,21,21,0,1270,193,37785,28,0,193,cosine
apache-isis_1.9.0,21,21,0,1307,195,38237,57,0,195,cosine
apache-jmeter_2.8,7,7,0,142,84,6979,38,0,84,euclidean
apache-jmeter_2.9,7,7,0,147,84,7116,38,0,84,euclidean
apache-jmeter_3.0,7,7,0,196,98,8081,38,0,98,cosine
apache-jmeter_3.1,7,7,0,201,102,8186,38,0,102,cosine
apache-jmeter_3.2,15,15,21,786,187,19845,77,4,187,cosine
apache-jmeter_3.2,15,19,21,786,187,19845,77,4,105,cosine
apache-jmeter_3.2,15,15,21,786,187,19845,77,4,187,cosine
apache-jmeter_3.2,15,19,21,786,187,19845,77,4,105,cosine
apache-jmeter_3.2,19,15,21,786,105,19845,38,1,187,cosine
apache-jmeter_3.2,19,19,21,786,105,19845,38,1,105,cosine
apache-jmeter_3.2,19,15,21,786,105,19845,38,1,187,cosine
apache-jmeter_3.2,19,19,21,786,105,19845,38,1,105,cosine
apache-jmeter_3.2,15,15,3,110,187,8168,77,4,187,cosine
apache-jmeter_3.2,15,19,3,110,187,8168,77,4,105,cosine
apache-jmeter_3.2,15,15,3,110,187,8168,77,4,187,cosine
apache-jmeter_3.2,15,19,3,110,187,8168,77,4,105,cosine
apache-jmeter_3.2,19,15,3,110,105,8168,38,1,187,cosine
apache-jmeter_3.2,19,19,3,110,105,8168,38,1,105,cosine
apache-jmeter_3.2,19,15,3,110,105,8168,38,1,187,cosine
apache-jmeter_3.2,19,19,3,110,105,8168,38,1,105,cosine
apache-jmeter_3.3,15,15,21,796,187,19964,77,4,187,l2
apache-jmeter_3.3,15,19,21,796,187,19964,77,4,108,l2
apache-jmeter_3.3,15,15,21,796,187,19964,77,4,187,l2
apache-jmeter_3.3,15,19,21,796,187,19964,77,4,108,l2
apache-jmeter_3.3,19,15,21,796,108,19964,38,1,187,l2
apache-jmeter_3.3,19,19,21,796,108,19964,38,1,108,l2
apache-jmeter_3.3,19,15,21,796,108,19964,38,1,187,l2
apache-jmeter_3.3,19,19,21,796,108,19964,38,1,108,l2
apache-jmeter_3.3,15,15,3,105,187,8311,77,4,187,l2
apache-jmeter_3.3,15,19,3,105,187,8311,77,4,108,l2
apache-jmeter_3.3,15,15,3,105,187,8311,77,4,187,l2
apache-jmeter_3.3,15,19,3,105,187,8311,77,4,108,l2
apache-jmeter_3.3,19,15,3,105,108,8311,38,1,187,l2
apache-jmeter_3.3,19,19,3,105,108,8311,38,1,108,l2
apache-jmeter_3.3,19,15,3,105,108,8311,38,1,187,l2
apache-jmeter_3.3,19,19,3,105,108,8311,38,1,108,l2
apache-jmeter_4.0,19,19,5,106,108,8575,38,1,108,euclidean
apache-jmeter_5.0,19,19,6,106,116,8735,38,1,116,euclidean
apache-jmeter_5.1,19,19,6,106,116,8883,38,1,116,cosine
apache-log4j_1.2.14,4,4,0,64,30,1650,26,0,30,l1
apache-log4j_1.2.4,4,4,0,60,28,1400,26,0,28,euclidean
apache-log4j_1.2.6,4,4,0,58,28,1410,26,0,28,euclidean
apache-log4j_1.2.7,4,4,0,58,28,1445,26,0,28,l2
apache-maven_3.3.9,2,2,0,47,82,6094,114,0,82,l1
apache-maven_3.5.0,2,2,0,51,82,6155,114,0,82,l1
apache-maven_3.5.1,2,2,0,51,82,6182,114,0,82,l1
apache-maven_3.5.2,2,2,0,51,82,6179,114,0,82,l1
apache-maven_3.5.3,2,2,0,46,82,6186,114,0,82,l1
apache-maven_3.6.0,2,2,0,48,82,6190,114,0,82,l1
apache-maven_3.6.1,2,2,0,49,82,6207,119,0,82,l1
apache-spark_2.3.0,39,39,27,117,92,9604,61,4,92,l1
apache-spark_2.3.3,39,39,27,117,92,9604,61,4,92,l1
apache-spark_2.4.2,39,39,27,117,92,9604,61,4,92,l1
apache-spark_2.4.3,39,39,27,117,92,9604,61,4,92,l1
apache-spark_2.4.4,39,39,27,117,92,9604,61,4,92,l1
apache-tomcat_9.0.21,19,19,38,281,68,12866,119,4,68,l1
apache-tomcat_9.0.22,19,19,38,281,68,12957,120,4,68,l1
apache-tomcat_9.0.23,19,19,40,281,69,13029,120,4,69,l1
apache-tomcat_9.0.24,19,19,40,281,69,13041,120,4,69,l1
apache-tomcat_9.0.25,19,19,40,281,69,13060,120,4,69,l1
apache-tomcat_9.0.26,19,19,40,281,69,13060,120,4,69,l1
apache-tomcat_9.0.6,19,19,32,253,68,11993,98,4,68,l1
apache-tomcat_9.0.7,19,19,32,259,68,12081,98,4,68,l1
apache-tomcat_9.0.8,19,19,32,259,68,12087,129,4,68,l1
rzwitserloot-lombok_1.16.22,10,10,6,173,146,4343,86,2,146,l1
