n_clusters,affinity,linkage,n_MoJo
50,euclidean,complete, 160
50,euclidean,average, 166
50,euclidean,single, 162
50,l1,complete, 161
50,l1,average, 164
50,l1,single, 163
50,l2,complete, 159
50,l2,average, 158
50,l2,single, 163
50,manhattan,complete, 161
50,manhattan,average, 162
50,manhattan,single, 165
50,cosine,complete, 165
50,cosine,average, 164
50,cosine,single, 163
100,euclidean,complete, 195
100,euclidean,average, 197
100,euclidean,single, 194
100,l1,complete, 195
100,l1,average, 195
100,l1,single, 194
100,l2,complete, 192
100,l2,average, 195
100,l2,single, 195
100,manhattan,complete, 195
100,manhattan,average, 195
100,manhattan,single, 195
100,cosine,complete, 201
100,cosine,average, 191
100,cosine,single, 192
150,euclidean,complete, 225
150,euclidean,average, 224
150,euclidean,single, 226
150,l1,complete, 225
150,l1,average, 221
150,l1,single, 217
150,l2,complete, 217
150,l2,average, 216
150,l2,single, 230
150,manhattan,complete, 222
150,manhattan,average, 213
150,manhattan,single, 218
150,cosine,complete, 217
150,cosine,average, 225
150,cosine,single, 227
200,euclidean,complete, 234
200,euclidean,average, 247
200,euclidean,single, 241
200,l1,complete, 246
200,l1,average, 237
200,l1,single, 246
200,l2,complete, 250
200,l2,average, 247
200,l2,single, 240
200,manhattan,complete, 241
200,manhattan,average, 241
200,manhattan,single, 239
200,cosine,complete, 240
200,cosine,average, 237
200,cosine,single, 247
250,euclidean,complete, 262
250,euclidean,average, 267
250,euclidean,single, 267
250,l1,complete, 267
250,l1,average, 263
250,l1,single, 260
250,l2,complete, 261
250,l2,average, 265
250,l2,single, 262
250,manhattan,complete, 271
250,manhattan,average, 268
250,manhattan,single, 265
250,cosine,complete, 263
250,cosine,average, 260
250,cosine,single, 269
300,euclidean,complete, 278
300,euclidean,average, 279
300,euclidean,single, 282
300,l1,complete, 286
300,l1,average, 283
300,l1,single, 284
300,l2,complete, 282
300,l2,average, 281
300,l2,single, 284
300,manhattan,complete, 283
300,manhattan,average, 280
300,manhattan,single, 283
300,cosine,complete, 279
300,cosine,average, 288
300,cosine,single, 284
