name,version,n_clusters,affinity,linkage,n_MoJo
apache_spark,2.1.3,50,euclidean,complete, 597
apache_spark,2.1.3,50,euclidean,complete, 462
apache_spark,2.1.3,50,euclidean,average, 595
apache_spark,2.1.3,50,euclidean,average, 472
apache_spark,2.1.3,50,euclidean,single, 584
apache_spark,2.1.3,50,euclidean,single, 516
apache_spark,2.1.3,50,l1,complete, 611
apache_spark,2.1.3,50,l1,complete, 470
apache_spark,2.1.3,50,l1,average, 616
apache_spark,2.1.3,50,l1,average, 438
apache_spark,2.1.3,50,l1,single, 614
apache_spark,2.1.3,50,l1,single, 415
apache_spark,2.1.3,50,l2,complete, 597
apache_spark,2.1.3,50,l2,complete, 460
apache_spark,2.1.3,50,l2,average, 596
apache_spark,2.1.3,50,l2,average, 470
apache_spark,2.1.3,50,l2,single, 585
apache_spark,2.1.3,50,l2,single, 514
apache_spark,2.1.3,50,manhattan,complete, 609
apache_spark,2.1.3,50,manhattan,complete, 471
apache_spark,2.1.3,50,manhattan,average, 617
apache_spark,2.1.3,50,manhattan,average, 436
apache_spark,2.1.3,50,manhattan,single, 616
apache_spark,2.1.3,50,manhattan,single, 414
apache_spark,2.1.3,50,cosine,complete, 596
apache_spark,2.1.3,50,cosine,complete, 473
apache_spark,2.1.3,50,cosine,average, 590
apache_spark,2.1.3,50,cosine,average, 550
apache_spark,2.1.3,50,cosine,single, 586
apache_spark,2.1.3,50,cosine,single, 450
apache_spark,2.1.3,100,euclidean,complete, 554
apache_spark,2.1.3,100,euclidean,complete, 502
apache_spark,2.1.3,100,euclidean,average, 560
apache_spark,2.1.3,100,euclidean,average, 560
apache_spark,2.1.3,100,euclidean,single, 547
apache_spark,2.1.3,100,euclidean,single, 502
apache_spark,2.1.3,100,l1,complete, 574
apache_spark,2.1.3,100,l1,complete, 534
apache_spark,2.1.3,100,l1,average, 579
apache_spark,2.1.3,100,l1,average, 482
apache_spark,2.1.3,100,l1,single, 584
apache_spark,2.1.3,100,l1,single, 467
apache_spark,2.1.3,100,l2,complete, 555
apache_spark,2.1.3,100,l2,complete, 500
apache_spark,2.1.3,100,l2,average, 561
apache_spark,2.1.3,100,l2,average, 559
apache_spark,2.1.3,100,l2,single, 546
apache_spark,2.1.3,100,l2,single, 507
apache_spark,2.1.3,100,manhattan,complete, 577
apache_spark,2.1.3,100,manhattan,complete, 539
apache_spark,2.1.3,100,manhattan,average, 580
apache_spark,2.1.3,100,manhattan,average, 491
apache_spark,2.1.3,100,manhattan,single, 589
apache_spark,2.1.3,100,manhattan,single, 474
apache_spark,2.1.3,100,cosine,complete, 554
apache_spark,2.1.3,100,cosine,complete, 550
apache_spark,2.1.3,100,cosine,average, 554
apache_spark,2.1.3,100,cosine,average, 535
apache_spark,2.1.3,100,cosine,single, 553
