male,female
46,24
6,29
15,1
17,1
83,64
36,17
36,25
8,2
17,6
32,19
6,8
38,6
5,28
5,3
3,19
5,13
25,9
71,61
38,8
68,26
41,8
69,86
15,1
46,13
14,4
68,67
8,24
58,4
27,41
29,6
39,4
24,75
2,27
6,24
6,18
61,5
13,21
12,1
24,87
8,6
41,17
3,55
9,4
34,31
2,4
6,12
35,6
2,11
2,5
15,8
19,6
16,2
11,3
16,13
4,7
12,15
36,7
16,11
7,2
22,9
36,3
19,4
4,1
8,43
17,85
12,1
18,67
49,7
16,27
3,4
48,18
18,34
1,28
32,12
8,25
13,25
42,11
52,28
39,21
26,4
43,1
6,6
7,2
16,7
32,2
8,9
19,9
17,21
8,18
55,21
75,17
15,13
18,25
17,13
23,9
31,29
17,22
11,3
3,5
51,4
75,2
13,1
9,6
7,7
16,11
32,2
17,4
14,13
61,1
13,11
25,6
28,6
24,26
17,24
39,16
15,4
8,9
14,15
69,4
18,11
4,3
27,9
16,1
78,1
21,25
5,34
9,22
7,21
12,21
51,1
76,5
2,32
78,41
4,81
46,4
64,18
58,2
34,1
35,26
15,1
3,6
14,6
17,9
31,2
2,16
3,4
28,17
15,12
13,15
16,6
66,4
24,29
32,7
28,23
9,13
23,39
39,15
12,32
18,8
62,21
16,12
37,4
9,2
6,3
11,24
16,61
1,8
19,24
39,51
6,8
9,4
22,6
7,4
56,8
18,13
1,74
6,2
18,28
21,43
76,3
34,26
9,3
68,64
27,4
5,83
5,14
27,11
78,5
41,5
11,23
12,26
1,2
53,12
58,24
54,12
64,26
22,24
12,27
21,1
14,12
17,4
13,4
8,52
24,79
12,32
39,3
7,4
13,8
14,1
4,13
54,3
5,21
52,44
13,6
9,5
32,4
8,5
73,4
32,21
7,2
27,4
45,6
78,9
79,85
8,9
55,2
11,74
2,7
7,4
6,6
73,4
13,3
11,46
56,19
14,48
68,21
4,9
4,3
12,1
28,2
11,31
68,51
38,85
2,27
6,8
1,15
33,3
12,41
19,11
12,3
29,5
8,37
54,2
55,19
7,26
13,4
7,8
19,3
3,4
67,15
5,23
14,24
16,9
38,8
68,14
16,2
56,1
17,19
6,2
15,4
6,6
21,2
68,32
42,21
44,2
33,6
9,22
13,9
43,6
17,13
15,24
6,26
17,1
52,13
12,26
22,6
82,9
33,21
17,27
15,24
19,6
45,9
16,3
9,8
31,52
52,6
11,11
2,2
14,21
5,66
46,26
2,7
5,11
6,15
46,12
19,9
9,1
16,2
22,13
28,2
29,24
6,42
11,4
85,54
6,41
22,5
17,1
28,4
1,8
54,13
7,16
15,24
38,45
47,2
9,4
34,9
76,3
15,3
17,6
51,22
5,13
14,12
16,6
17,24
62,8
7,24
11,27
42,4
56,4
51,26
9,3
18,26
5,4
74,21
14,31
1,86
6,21
32,6
6,3
7,32
5,24
49,25
8,5
32,53
39,11
3,8
17,6
26,4
1,53
7,2
53,2
13,84
19,21
46,35
1,39
14,25
2,1
13,17
13,6
5,36
9,6
6,1
26,44
23,4
7,3
15,4
9,74
16,17
17,56
45,13
38,24
17,6
27,9
24,31
9,8
72,2
52,1
18,11
12,1
19,25
42,24
47,31
43,1
14,2
38,24
48,58
27,5
29,24
9,15
61,6
14,1
32,13
73,13
42,4
26,11
17,12
15,1
27,5
41,29
51,11
3,2
15,5
14,19
9,15
16,3
31,3
6,19
13,22
19,81
3,24
14,37
27,18
3,15
6,5
47,8
54,6
69,2
41,1
67,5
49,3
12,15
4,82
13,3
37,4
16,5
18,2
18,6
18,2
64,14
8,15
2,24
14,4
39,18
13,3
43,27
26,47
76,6
31,25
1,1
6,56
21,2
14,23
15,2
54,4
23,5
3,5
7,5
8,4
39,1
14,4
21,1
69,3
64,5
15,7
16,3
24,4
11,17
18,6
25,53
2,15
15,3
75,45
5,5
19,17
18,11
17,67
17,48
14,23
7,1
55,44
27,21
21,63
41,16
9,8
8,3
1,2
17,5
52,11
33,11
5,4
14,4
39,11
47,28
38,8
37,16
52,4
31,5
78,13
14,14
13,9
38,24
16,22
1,4
9,25
51,24
11,21
49,16
58,1
39,4
13,13
14,69
6,23
11,25
49,6
8,65
14,1
52,14
34,4
22,6
13,1
75,14
15,13
18,23
31,31
3,1
14,4
13,2
13,56
33,19
12,84
13,23
13,11
69,4
63,72
11,14
65,79
18,26
5,14
24,7
5,4
47,35
16,2
26,5
