Instance,cbo_sum,wmc_sum,dit_sum,rfc_sum,lcom_sum,totalMethods_sum,staticMethods_sum,publicMethods_sum,privateMethods_sum,protectedMethods_sum,defaultMethods_sum,abstractMethods_sum,finalMethods_sum,synchronizedMethods_sum,totalFields_sum,staticFields_sum,publicFields_sum,privateFields_sum,protectedFields_sum,defaultFields_sum,finalFields_sum,synchronizedFields_sum,nosi_sum,loc_sum,returnQty_sum,loopQty_sum,comparisonsQty_sum,tryCatchQty_sum,parenthesizedExpsQty_sum,stringLiteralsQty_sum,numbersQty_sum,assignmentsQty_sum,mathOperationsQty_sum,variablesQty_sum,maxNestedBlocks_sum,anonymousClassesQty_sum,subClassesQty_sum,lambdasQty_sum,uniqueWordsQty_sum,modifiers_sum,cbo_max,wmc_max,dit_max,rfc_max,lcom_max,totalMethods_max,staticMethods_max,publicMethods_max,privateMethods_max,protectedMethods_max,defaultMethods_max,abstractMethods_max,finalMethods_max,synchronizedMethods_max,totalFields_max,staticFields_max,publicFields_max,privateFields_max,protectedFields_max,defaultFields_max,finalFields_max,synchronizedFields_max,nosi_max,loc_max,returnQty_max,loopQty_max,comparisonsQty_max,tryCatchQty_max,parenthesizedExpsQty_max,stringLiteralsQty_max,numbersQty_max,assignmentsQty_max,mathOperationsQty_max,variablesQty_max,maxNestedBlocks_max,anonymousClassesQty_max,subClassesQty_max,lambdasQty_max,uniqueWordsQty_max,modifiers_max,cbo_std,wmc_std,dit_std,rfc_std,lcom_std,totalMethods_std,staticMethods_std,publicMethods_std,privateMethods_std,protectedMethods_std,defaultMethods_std,abstractMethods_std,finalMethods_std,synchronizedMethods_std,totalFields_std,staticFields_std,publicFields_std,privateFields_std,protectedFields_std,defaultFields_std,finalFields_std,synchronizedFields_std,nosi_std,loc_std,returnQty_std,loopQty_std,comparisonsQty_std,tryCatchQty_std,parenthesizedExpsQty_std,stringLiteralsQty_std,numbersQty_std,assignmentsQty_std,mathOperationsQty_std,variablesQty_std,maxNestedBlocks_std,anonymousClassesQty_std,subClassesQty_std,lambdasQty_std,uniqueWordsQty_std,modifiers_std,cbo_mean,wmc_mean,dit_mean,rfc_mean,lcom_mean,totalMethods_mean,staticMethods_mean,publicMethods_mean,privateMethods_mean,protectedMethods_mean,defaultMethods_mean,abstractMethods_mean,finalMethods_mean,synchronizedMethods_mean,totalFields_mean,staticFields_mean,publicFields_mean,privateFields_mean,protectedFields_mean,defaultFields_mean,finalFields_mean,synchronizedFields_mean,nosi_mean,loc_mean,returnQty_mean,loopQty_mean,comparisonsQty_mean,tryCatchQty_mean,parenthesizedExpsQty_mean,stringLiteralsQty_mean,numbersQty_mean,assignmentsQty_mean,mathOperationsQty_mean,variablesQty_mean,maxNestedBlocks_mean,anonymousClassesQty_mean,subClassesQty_mean,lambdasQty_mean,uniqueWordsQty_mean,modifiers_mean,Label
ReactiveX-RxJava,22033,21123,3916,30019,485145,16074,880,14927,281,437,0,26,1232,2,2301,285,79,236,54,0,1542,0,28695,281167,3605,1554,792,1621,387,12531,36499,24192,1674,23312,1307,8517,1125,0,98675,61936,352,570,26,348,125751,502,125,497,17,4,0,4,372,1,29,26,6,6,10,0,13,0,1154,4273,520,53,27,100,16,672,629,421,166,418,10,209,37,0,1972,1025,22033,21123,3916,30019,485145,16074,880,14927,281,437,0,26,1232,2,2301,285,79,236,54,0,1542,0,28695,281167,3605,1554,792,1621,387,12531,36499,24192,1674,23312,1307,8517,1125,0,98675,61936,352,570,26,348,125751,502,125,497,17,4,0,4,372,1,29,26,6,6,10,0,13,0,1154,4273,520,53,27,100,16,672,629,421,166,418,10,209,37,0,1972,1025,bunch
Twitter4J-Twitter4J,2631,6701,552,4822,62696,4088,245,2571,174,241,0,21,77,31,908,281,67,720,43,0,353,0,1643,31368,2238,256,417,379,412,4830,2681,3839,1383,2619,372,193,11,0,25107,15078,76,277,5,178,20237,202,19,190,15,53,0,12,71,9,71,54,53,66,11,0,54,0,86,2511,208,22,29,17,48,756,141,151,170,82,8,153,2,0,407,1025,2631,6701,552,4822,62696,4088,245,2571,174,241,0,21,77,31,908,281,67,720,43,0,353,0,1643,31368,2238,256,417,379,412,4830,2681,3839,1383,2619,372,193,11,0,25107,15078,76,277,5,178,20237,202,19,190,15,53,0,12,71,9,71,54,53,66,11,0,54,0,86,2511,208,22,29,17,48,756,141,151,170,82,8,153,2,0,407,1025,bunch
ZieIony-Carbon,935,1604,196,1735,5868,821,27,645,60,93,0,0,0,14,369,56,14,265,1,0,74,0,215,7788,299,49,233,21,132,90,739,1114,483,848,86,71,1,0,4346,2150,35,89,4,88,595,39,13,33,4,7,0,0,0,2,37,20,3,37,1,0,23,0,20,322,23,7,21,7,12,18,67,100,48,56,4,10,1,0,122,1025,935,1604,196,1735,5868,821,27,645,60,93,0,0,0,14,369,56,14,265,1,0,74,0,215,7788,299,49,233,21,132,90,739,1114,483,848,86,71,1,0,4346,2150,35,89,4,88,595,39,13,33,4,7,0,0,0,2,37,20,3,37,1,0,23,0,20,322,23,7,21,7,12,18,67,100,48,56,4,10,1,0,122,1025,bunch
activiti-activiti,19585,27526,4627,30119,279319,16383,553,12049,415,1531,2,143,2,19,5517,1477,569,1886,2620,0,1653,0,2797,161521,7480,1721,1769,851,1052,22383,12749,22536,2066,17646,1708,146,109,340,93840,95516,299,618,8,243,83844,413,25,410,11,32,1,51,1,3,254,254,254,30,168,0,254,0,79,2725,343,55,117,49,68,1161,940,400,291,266,9,23,16,74,799,1025,19585,27526,4627,30119,279319,16383,553,12049,415,1531,2,143,2,19,5517,1477,569,1886,2620,0,1653,0,2797,161521,7480,1721,1769,851,1052,22383,12749,22536,2066,17646,1708,146,109,340,93840,95516,299,618,8,243,83844,413,25,410,11,32,1,51,1,3,254,254,254,30,168,0,254,0,79,2725,343,55,117,49,68,1161,940,400,291,266,9,23,16,74,799,1025,bunch
airbnb-lottie-android,1621,2246,230,2025,3786,1146,118,833,161,10,0,3,5,6,560,54,41,476,3,0,404,0,549,12200,703,178,241,18,162,861,1272,1922,601,1442,151,50,7,0,7305,7344,50,130,3,115,1550,83,21,74,15,4,0,1,3,6,24,9,9,21,1,0,21,0,52,624,61,13,30,6,21,243,149,102,56,73,4,13,2,0,531,1025,1621,2246,230,2025,3786,1146,118,833,161,10,0,3,5,6,560,54,41,476,3,0,404,0,549,12200,703,178,241,18,162,861,1272,1922,601,1442,151,50,7,0,7305,7344,50,130,3,115,1550,83,21,74,15,4,0,1,3,6,24,9,9,21,1,0,21,0,52,624,61,13,30,6,21,243,149,102,56,73,4,13,2,0,531,1025,bunch
alibaba-fastjson,10668,19951,5201,17315,185921,10216,489,9463,258,307,0,21,190,0,9425,546,7021,1962,121,0,555,0,8373,159310,4479,1375,3329,955,2032,15025,13257,25711,4024,25656,1048,476,2245,0,80482,15152,58,1282,12,254,19700,200,77,200,27,13,0,14,41,0,6664,32,6664,100,18,0,27,0,207,6667,332,107,536,32,340,753,720,1584,769,6664,11,11,30,0,6666,1025,10668,19951,5201,17315,185921,10216,489,9463,258,307,0,21,190,0,9425,546,7021,1962,121,0,555,0,8373,159310,4479,1375,3329,955,2032,15025,13257,25711,4024,25656,1048,476,2245,0,80482,15152,58,1282,12,254,19700,200,77,200,27,13,0,14,41,0,6664,32,6664,100,18,0,27,0,207,6667,332,107,536,32,340,753,720,1584,769,6664,11,11,30,0,6666,1025,bunch
alibaba-jetcache,1842,2109,438,2885,5570,1383,104,1031,137,122,20,12,11,11,461,73,21,351,60,0,63,0,630,15727,863,79,211,73,90,1482,1032,2071,244,1576,163,16,104,230,8039,14591,41,77,6,110,2212,69,9,68,15,9,15,7,9,2,30,7,6,13,29,0,6,0,54,799,46,11,17,7,11,168,86,111,36,93,5,2,25,36,227,1025,1842,2109,438,2885,5570,1383,104,1031,137,122,20,12,11,11,461,73,21,351,60,0,63,0,630,15727,863,79,211,73,90,1482,1032,2071,244,1576,163,16,104,230,8039,14591,41,77,6,110,2212,69,9,68,15,9,15,7,9,2,30,7,6,13,29,0,6,0,54,799,46,11,17,7,11,168,86,111,36,93,5,2,25,36,227,1025,bunch
apache-cassandra,25267,45505,4742,50195,242489,22335,4346,17001,3238,833,55,356,125,169,7863,3295,2240,4409,492,0,5768,0,39419,406693,14737,5201,4258,2266,3138,46629,56194,41184,9571,33241,2215,986,2172,1002,191725,204618,187,977,228,782,31306,294,294,286,69,63,10,18,8,16,183,68,180,71,17,0,70,0,1085,45543,434,128,77,58,219,1720,5270,615,338,364,7,51,593,69,1144,1025,25267,45505,4742,50195,242489,22335,4346,17001,3238,833,55,356,125,169,7863,3295,2240,4409,492,0,5768,0,39419,406693,14737,5201,4258,2266,3138,46629,56194,41184,9571,33241,2215,986,2172,1002,191725,204618,187,977,228,782,31306,294,294,286,69,63,10,18,8,16,183,68,180,71,17,0,70,0,1085,45543,434,128,77,58,219,1720,5270,615,338,364,7,51,593,69,1144,1025,bunch
apache-isis,24432,24366,7708,24616,98396,16480,1847,11194,2214,1643,0,168,120,32,5131,1630,618,3978,168,0,2997,0,6188,166213,10099,908,2003,516,455,9333,3891,16970,1549,16157,1149,1001,1136,0,128817,356225,191,333,61,280,15904,181,36,131,51,35,0,26,6,7,38,38,38,28,17,0,38,0,153,1338,233,19,30,11,13,195,156,205,71,186,5,24,65,0,648,1025,24432,24366,7708,24616,98396,16480,1847,11194,2214,1643,0,168,120,32,5131,1630,618,3978,168,0,2997,0,6188,166213,10099,908,2003,516,455,9333,3891,16970,1549,16157,1149,1001,1136,0,128817,356225,191,333,61,280,15904,181,36,131,51,35,0,26,6,7,38,38,38,28,17,0,38,0,153,1338,233,19,30,11,13,195,156,205,71,186,5,24,65,0,648,1025,agglomerative
apache-jmeter,6979,17803,2836,20838,69650,9377,739,7091,1403,442,0,35,89,153,5289,2888,607,4404,194,0,3389,0,5638,103089,4763,1051,1241,859,1063,14282,7351,18203,2858,14183,1408,142,109,0,77680,64302,84,258,14,213,6476,116,67,102,30,32,0,7,25,13,70,70,65,67,19,0,70,0,128,1168,75,24,38,21,38,520,277,320,67,230,7,9,5,0,628,1025,6979,17803,2836,20838,69650,9377,739,7091,1403,442,0,35,89,153,5289,2888,607,4404,194,0,3389,0,5638,103089,4763,1051,1241,859,1063,14282,7351,18203,2858,14183,1408,142,109,0,77680,64302,84,258,14,213,6476,116,67,102,30,32,0,7,25,13,70,70,65,67,19,0,70,0,128,1168,75,24,38,21,38,520,277,320,67,230,7,9,5,0,628,1025,bunch
