Instance,staticMethods_sum,publicMethods_mean,assignmentsQty_mean,Label
apache-spark_2.4.3,1234,91,362,l1
jenkinsci-jenkins_2.194,1306,147,226,cosine
ionic-team-capacitor_0.0.112,28,35,53,l2
iSoron-uhabits_1.7.8,116,30,170,l1
apache-tomcat_9.0.22,1871,303,638,l1
apache-activemq_5.15.8,1405,237,507,cosine
activiti-activiti_7.1.83,553,410,400,manhattan
hazelcast-hazelcast_3.8.9,2289,144,2232,cosine
cglib-cglib_3.2.7,282,98,171,l2
airbnb-lottie-android_3.0.0,128,76,105,manhattan
pmd-pmd_6.3.0,724,144,165,l1
querydsl-querydsl_4.1.3,958,192,225,l1
javaparser-javaparser_3.14.2,739,147,1572,l1
codecentric-spring-boot-admin_2.1.4,83,20,35,l1
ReactiveX-RxJava_2.2.8,878,497,421,cosine
oracle-opengrok_1.3.1,562,188,261,cosine
apache-cassandra_3.2,3506,239,547,euclidean
oblac-jodd_5.0.8,1679,199,775,cosine
scribejava-scribejava_6.6.2,216,53,33,euclidean
apache-archiva_1.3.9,208,52,785,manhattan
redisson-redisson_3.7.2,191,138,274,cosine
crate-crate_3.3.5,1572,188,245,cosine
alibaba-fastjson_1.2.54,489,200,1584,manhattan
facebook-facebook-android-sdk_5.2.0,1000,66,195,manhattan
JodaOrg-joda-time_2.9.2,740,123,353,cosine
dropwizard-dropwizard_1.3.6,147,84,101,manhattan
bumptech-glide_4.6.1,479,82,211,cosine
raphw-byte-buddy_1.9.3,579,187,286,manhattan
mrniko-netty-socketio_1.7.6,6,62,66,l1
google-error-prone_2.1.2,1068,109,107,manhattan
sofastack-sofa-rpc_5.6.1,832,70,128,cosine
dropwizard-metrics_3.2.5,74,40,56,manhattan
apache-calcite_1.3.0,2201,266,550,cosine
apache-isis_1.16.2,1914,131,228,cosine
robolectric-robolectric_3.8,1249,134,367,cosine
apache-tika_1.3,370,50,232,l1
alibaba-jetcache_2.5.2,91,68,94,euclidean
testcontainers-testcontainers-java_1.8.1,107,55,71,cosine
mockito-mockito_3.0.1,623,113,282,l2
grpc-grpc-java_1.20.0,951,111,482,cosine
auth0-java-jwt_3.7.0,57,74,341,cosine
coobird-thumbnailator_0.3.9,56,254,862,l1
cryptomator-cryptomator_1.4.5,35,28,53,l2
java-native-accessjna_5.2.0,770,105,4347,cosine
pxb1988-dex2jar_0.0.9.5,193,46,247,cosine
quarkusio-quarkus_0.22,1247,172,287,l1
apache-accumulo_1.9.3,2421,125,443,cosine
joelittlejohn-jsonschema2pojo_0.5.1,186,122,118,l1
web3j-web3j_4.1.1,434,81,148,cosine
apache-storm_1.2.3,1694,148,392,cosine
btraceio-btrace_1.3.3,843,277,201,l2
immutables-immutables_2.7.1,327,144,148,cosine
ZieIony-Carbon_0.7.2,28,33,100,cosine
google-dagger_2.24,638,46,162,l2
Twitter4J-Twitter4J_4.0.6,261,232,153,l2
rest-assured-rest-assured_3.2.0,505,135,131,euclidean
naver-pinpoint_1.8.4,1544,150,474,cosine
lettuce-io-lettuce-core_5.1.5,700,412,299,cosine
apache-beam_2.7.0,3145,96,222,cosine
