name,version,n_clusters,affinity,linkage,n_MoJo,mojoFM
apache-spark,2.4.3,50,l1,single,107,99.22821696480094
jenkinsci-jenkins,2.194,50,cosine,single,114,99.02002922719849
ionic-team-capacitor,0.0.112,50,l2,single,8,99.00867410161092
hibernate-hibernate-orm,5.3.7,50,manhattan,single,111,98.986301369863
iSoron-uhabits,1.7.8,300,l1,complete,9,98.6046511627907
apache-tomcat,9.0.22,50,l1,single,102,97.4365418446846
apache-activemq,5.15.8,50,cosine,single,158,97.05498602050328
activiti-activiti,7.1.83,50,manhattan,single,124,96.98590179873602
hazelcast-hazelcast,3.8.9,50,cosine,single,208,96.7494921081419
cglib-cglib,3.2.7,200,l2,complete,10,95.96774193548387
airbnb-lottie-android,3.0.0,150,manhattan,complete,34,95.50264550264549
spring-projects-spring-security,5.0.6,50,l1,single,118,95.49790156428844
pmd-pmd,6.3.0,50,l1,single,138,95.19163763066202
querydsl-querydsl,4.1.3,50,l1,single,118,94.5945945945946
apache-maven,3.3.7,50,l1,single,107,94.30851063829788
javaparser-javaparser,3.14.2,50,l1,single,104,94.07069555302166
codecentric-spring-boot-admin,2.1.4,200,l1,complete,26,94.06392694063929
ReactiveX-RxJava,2.2.8,50,cosine,single,110,93.61207897793264
oracle-opengrok,1.3.1,50,cosine,single,105,93.40037712130736
apache-cassandra,3.2,50,euclidean,single,170,92.8691275167785
oblac-jodd,5.0.8,50,cosine,single,177,92.8657799274486
scribejava-scribejava,6.6.2,250,euclidean,complete,23,92.58064516129032
apache-archiva,1.3.9,50,manhattan,single,138,92.43006034009872
jankotek-mapdb,1.0.7,150,manhattan,average,19,92.36947791164657
redisson-redisson,3.7.2,50,cosine,single,111,92.11647727272728
crate-crate,3.3.5,50,cosine,single,230,91.75331660093224
alibaba-fastjson,1.2.54,50,manhattan,single,231,91.68466522678186
facebook-facebook-android-sdk,5.2.0,50,manhattan,single,96,91.0112359550562
JodaOrg-joda-time,2.9.2,300,cosine,single,44,90.83333333333331
dropwizard-dropwizard,1.3.6,50,manhattan,single,115,90.55053410024652
bumptech-glide,4.6.1,50,cosine,single,107,90.0925925925926
raphw-byte-buddy,1.9.3,50,manhattan,single,121,89.96683250414594
jhy-jsoup,1.6.0,50,manhattan,single,10,89.89898989898991
mrniko-netty-socketio,1.7.6,100,l1,single,14,89.8550724637681
google-error-prone,2.1.2,50,manhattan,single,144,89.80891719745225
sofastack-sofa-rpc,5.6.1,50,cosine,single,117,89.52551477170994
dropwizard-metrics,3.2.5,200,manhattan,average,35,89.42598187311178
bytedeco-javacpp,1.3.1,100,euclidean,complete,20,89.07103825136612
rzwitserloot-lombok,1.16.20,50,l1,single,101,89.06926406926407
apache-calcite,1.3.0,50,cosine,single,143,88.92331525948877
apache-isis,1.16.2,50,cosine,single,396,88.6986301369863
robolectric-robolectric,3.8,50,cosine,single,138,88.31498729889923
springfox-springfox,2.3.0,300,cosine,complete,83,88.29337094499294
apache-tika,1.3,50,l1,single,101,88.22843822843825
alibaba-jetcache,2.5.2,200,euclidean,average,34,87.85714285714286
testcontainers-testcontainers-java,1.8.1,200,cosine,complete,62,87.4239350912779
mockito-mockito,3.0.1,50,l2,single,141,86.84701492537312
knowm-XChange,4.3.2,50,cosine,single,342,86.46080760095013
grpc-grpc-java,1.20.0,50,cosine,single,153,86.05287146763901
apache-avro,1.7.2,250,euclidean,complete,162,85.87619877942458
mybatis-mybatis-3,3.3.1,50,cosine,single,204,85.49075391180655
auth0-java-jwt,3.7.0,50,cosine,single,17,84.82142857142857
coobird-thumbnailator,0.3.9,50,l1,single,40,83.60655737704919
cryptomator-cryptomator,1.4.5,50,l2,complete,32,82.51366120218579
apache-jmeter,2.7,50,euclidean,single,266,81.97831978319783
uber-NullAway,0.6.5,50,l1,average,29,80.92105263157895
swagger-api-swagger-core,1.5.23,50,euclidean,single,126,80.25078369905954
java-native-accessjna,5.2.0,50,cosine,single,191,80.22774327122153
pxb1988-dex2jar,0.0.9.5,100,cosine,average,29,79.5774647887324
quarkusio-quarkus,0.22,50,l1,single,449,79.55373406193078
apache-accumulo,1.9.3,50,cosine,single,455,79.18572735590121
joelittlejohn-jsonschema2pojo,0.5.1,150,l1,average,138,79.0909090909091
web3j-web3j,4.1.1,50,cosine,single,135,78.5031847133758
apache-storm,1.2.3,50,cosine,single,447,78.24817518248175
btraceio-btrace,1.3.3,250,l2,complete,84,76.66666666666666
immutables-immutables,2.7.1,50,cosine,single,161,76.66666666666666
ZieIony-Carbon,0.7.2,50,cosine,average,55,75.87719298245614
google-dagger,2.24,50,l2,single,205,74.18136020151134
Twitter4J-Twitter4J,4.0.6,250,l2,single,143,73.17073170731706
rest-assured-rest-assured,3.2.0,300,euclidean,complete,157,71.08655616942909
naver-pinpoint,1.8.4,50,cosine,single,1854,63.575638506876224
apache-bookkeeper,4.6.2,50,cosine,single,413,55.82887700534761
lettuce-io-lettuce-core,5.1.5,50,cosine,single,342,51.89873417721518
apache-beam,2.7.0,50,cosine,single,1149,39.174166225516146
apache-log4j,1.2.13,100,l1,average,190,32.862190812720854
