project_name,version,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
apache-storm,1.1.1,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,309,309,308,62,18,0,309,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1178,1025
apache-storm,1.1.2,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,311,311,310,62,18,0,311,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1187,1025
apache-storm,1.1.3,188,550,228,372,12513,162,152,147,29,13,0,12,13,7,313,313,312,62,18,0,313,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025
apache-storm,1.1.4,188,550,228,375,12637,163,153,148,29,13,0,12,13,7,313,313,312,62,18,0,313,0,148,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1191,1025
apache-storm,1.2.0,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025
apache-storm,1.2.1,188,550,228,370,12135,159,149,146,29,13,0,12,13,7,315,315,314,62,18,0,315,0,134,38494,218,48,47,43,48,570,613,392,57,333,7,45,593,0,1209,1025
apache-storm,1.2.2,188,550,228,372,12475,162,152,147,29,13,0,12,13,7,317,317,316,62,18,0,317,0,147,38494,218,48,47,42,48,570,613,392,53,333,7,45,593,0,1213,1025
apache-storm,1.2.3,74,574,26,375,12597,163,153,148,29,14,0,12,13,7,317,317,316,63,18,0,317,0,148,39518,220,48,48,42,71,570,613,392,90,333,7,45,593,0,1213,1025
apache-storm,2.0.0,171,800,28,973,13174,194,112,189,111,15,4,14,13,7,250,250,248,107,35,0,250,0,478,43417,310,109,77,69,101,476,732,857,130,733,7,50,658,43,1169,1025
apache-storm,2.1.0,176,800,28,1001,13174,197,112,189,114,15,4,14,13,7,251,251,249,107,35,0,251,0,477,43417,310,111,78,70,101,480,766,873,130,748,7,50,658,43,1165,1025
apache-cassandra,3.11.4,187,977,228,782,31306,294,294,286,69,63,10,18,8,16,183,68,180,71,17,0,70,0,1085,45543,434,128,77,58,219,1720,5270,615,338,364,7,51,593,69,1144,1025
apache-cassandra,3.2.1,187,977,228,684,21529,242,227,239,55,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,319,7,45,593,35,1053,1025
apache-cassandra,3.2,187,977,228,684,21529,242,227,239,55,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,319,7,45,593,35,1053,1025
apache-cassandra,3.3,187,977,228,688,21529,242,227,239,56,49,4,15,8,12,158,68,156,71,15,0,70,0,817,45543,434,114,77,58,219,1686,2127,547,354,320,7,45,593,35,1056,1025
apache-cassandra,3.4,187,977,228,712,23098,257,238,239,59,50,4,15,9,12,161,68,159,71,15,0,70,0,975,45543,434,115,77,58,219,1716,5188,615,356,322,7,45,593,35,1076,1025
apache-cassandra,3.5,187,977,228,717,24132,261,238,239,59,50,4,15,9,12,163,68,159,71,15,0,70,0,978,45543,434,115,77,58,219,1716,5204,615,356,322,7,45,593,37,1077,1025
apache-cassandra,3.6,187,977,228,732,25195,267,243,239,62,51,10,15,9,12,167,68,163,71,17,0,70,0,978,45543,434,117,77,58,219,1878,5204,615,380,336,7,45,593,50,1098,1025
apache-cassandra,3.7,187,977,228,732,25195,267,245,241,62,51,10,16,9,12,168,68,164,71,17,0,70,0,978,45543,434,117,77,58,219,1893,5204,615,381,336,7,45,593,50,1098,1025
apache-cassandra,3.8,187,977,228,733,25195,267,253,250,61,58,10,17,8,12,174,68,170,71,17,0,70,0,978,45543,434,119,77,58,219,1893,5221,615,381,337,6,45,593,50,1099,1025
apache-cassandra,3.9,187,977,228,733,25195,267,253,250,61,58,10,17,8,12,174,68,170,71,17,0,70,0,978,45543,434,119,77,58,219,1893,5221,615,381,337,6,45,593,50,1099,1025
airbnb-lottie-android,2.6.1,50,130,3,115,1550,83,21,74,15,4,0,1,3,6,24,9,9,21,1,0,21,0,52,624,61,13,30,6,21,243,149,102,56,73,4,13,2,0,531,1025
airbnb-lottie-android,2.7.0,50,130,3,112,1550,83,21,74,15,4,0,1,3,6,24,9,9,21,1,0,21,0,52,624,61,13,30,6,21,243,149,102,56,73,4,13,2,0,515,1025
airbnb-lottie-android,3.0.0,53,138,3,116,1539,82,23,76,16,5,0,1,3,6,29,9,11,22,1,0,22,0,52,720,65,13,36,6,21,81,149,105,56,78,4,16,2,0,525,1025
airbnb-lottie-android,3.0.1,53,143,3,123,1619,83,23,76,16,5,0,1,3,6,29,9,11,22,1,0,22,0,52,729,65,13,37,6,21,81,149,105,56,78,4,16,2,0,539,1025
airbnb-lottie-android,3.0.2,53,143,3,123,1631,83,23,76,16,5,0,1,3,6,29,8,11,22,1,0,22,0,52,729,65,13,37,6,21,81,149,105,56,78,4,16,2,0,539,1025
airbnb-lottie-android,3.0.3,53,143,3,123,1631,83,23,76,16,5,0,1,3,6,29,8,11,22,1,0,22,0,52,730,65,13,37,6,21,81,149,105,56,78,4,16,2,0,539,1025
airbnb-lottie-android,3.0.4,53,276,6,129,1631,83,23,76,16,5,0,14,3,6,39,33,11,39,1,0,35,0,52,855,78,13,108,6,28,81,149,219,69,104,4,16,6,0,542,1025
airbnb-lottie-android,3.0.5,53,276,6,129,1631,83,23,76,16,5,0,14,3,6,39,33,11,39,1,0,35,0,52,855,78,13,108,6,28,81,149,219,69,104,4,16,6,0,542,1025
airbnb-lottie-android,3.0.6,53,276,6,129,1631,83,23,76,16,5,0,14,3,6,39,33,11,39,1,0,35,0,52,855,78,13,108,6,28,81,149,219,69,104,4,16,6,0,542,1025
airbnb-lottie-android,3.0.7,53,276,6,131,1589,83,23,76,16,5,0,14,3,6,39,33,11,39,1,0,35,0,52,855,78,13,108,6,28,81,149,219,69,104,4,16,6,0,545,1025
apache-isis,1.15.1,191,333,61,280,15904,181,36,131,51,35,0,26,6,7,38,38,38,28,17,0,38,0,153,1338,233,19,30,11,13,195,156,205,71,186,5,24,65,0,648,1025
apache-isis,1.16.0,191,333,61,297,15904,181,36,131,54,35,0,26,6,7,38,38,38,28,17,0,38,0,153,1441,233,19,31,15,13,195,156,228,71,207,5,24,65,0,662,1025
apache-isis,1.16.1,193,333,61,299,15904,181,36,131,54,35,0,26,6,7,38,38,38,28,17,0,38,0,153,1423,233,18,31,15,13,195,156,228,71,207,5,24,65,0,662,1025
apache-isis,1.16.2,193,333,61,299,15904,181,36,131,54,35,0,26,6,7,38,38,38,28,17,0,38,0,153,1423,233,18,31,15,13,196,156,228,71,207,5,24,65,0,662,1025
apache-isis,1.17.0,182,333,61,299,15904,181,36,131,54,35,0,26,6,7,38,38,38,29,17,0,38,0,153,1423,233,20,31,15,13,196,156,228,71,207,5,24,65,0,662,1025
apache-isis,1.6.0,199,333,48,179,15904,181,42,131,48,32,0,21,6,7,69,63,47,32,14,0,63,0,118,1239,233,22,28,27,17,173,194,160,97,156,7,24,36,0,397,1025
apache-isis,1.7.0,205,333,48,179,15904,181,42,131,48,32,0,21,6,7,69,63,47,32,14,0,63,0,118,1239,233,22,28,27,17,173,194,160,97,156,7,24,36,0,419,1025
apache-isis,1.8.0,193,333,61,179,15904,181,42,131,48,32,0,21,6,7,69,63,47,32,14,0,63,0,118,1239,233,22,28,27,17,173,194,141,97,140,7,24,65,0,421,1025
apache-isis,1.9.0,195,333,61,179,15904,181,42,131,48,35,0,21,6,7,69,63,47,32,14,0,63,0,152,1239,233,22,57,27,17,173,194,141,97,140,7,24,65,0,422,1025
apache-isis,2.0.0,140,330,58,182,15367,178,38,128,48,24,11,27,6,7,34,34,31,27,21,0,34,0,153,1219,230,20,27,14,12,198,77,122,32,114,6,24,47,27,440,1025
apache-jmeter,2.8,84,258,14,213,6476,116,67,102,30,32,0,7,25,13,70,70,65,67,19,0,70,0,128,1168,75,24,38,21,38,520,277,320,67,230,7,9,5,0,628,1025
apache-jmeter,2.9,84,258,14,211,6592,117,67,102,30,32,0,7,25,13,71,70,65,68,19,0,70,0,128,1172,74,24,38,20,38,520,277,320,68,230,7,9,5,0,626,1025
apache-jmeter,3.0,98,280,16,228,7344,125,72,107,30,35,0,7,17,13,89,76,76,67,25,0,80,0,139,1246,84,24,38,20,39,355,277,320,72,225,8,9,6,0,665,1025
apache-jmeter,3.1,102,286,16,236,7431,126,75,113,31,37,0,7,17,13,89,76,76,67,25,0,80,0,139,1276,91,24,38,21,38,355,277,321,73,225,8,9,6,0,664,1025
apache-jmeter,3.2,105,299,16,242,7525,126,66,113,31,37,1,19,17,13,118,83,81,107,25,0,83,0,150,1336,92,21,38,21,36,355,277,319,72,225,8,8,6,9,679,1025
