name,version,n_clusters,affinity,linkage,n_MoJo,mojoFM
apache-storm,1.1.0,100,l2,single,1568,23.69829683698297
apache-storm,1.1.1,50,euclidean,single,1574,23.406326034063262
apache-storm,1.1.2,50,cosine,single,508,75.27980535279806
apache-storm,1.1.3,50,cosine,single,511,75.1338199513382
apache-storm,1.1.4,50,cosine,single,505,75.4257907542579
apache-storm,1.2.0,50,cosine,single,468,77.22627737226277
apache-storm,1.2.1,50,cosine,single,465,77.37226277372262
apache-storm,1.2.2,50,cosine,single,487,76.30170316301704
apache-storm,1.2.3,50,cosine,single,447,78.24817518248175
apache-storm,2.0.0,50,cosine,single,1907,7.20194647201946
apache-cassandra,3.11.3,50,euclidean,single,532,77.68456375838926
apache-cassandra,3.11.4,50,euclidean,single,554,76.76174496644295
apache-cassandra,3.2,50,euclidean,single,170,92.86912751677853
apache-cassandra,3.2.1,50,euclidean,single,170,92.86912751677853
apache-cassandra,3.3,50,euclidean,single,172,92.78523489932886
apache-cassandra,3.4,50,euclidean,single,291,87.79362416107382
apache-cassandra,3.5,50,euclidean,single,256,89.26174496644296
apache-cassandra,3.6,50,euclidean,single,297,87.54194630872483
apache-cassandra,3.7,50,euclidean,single,289,87.87751677852349
apache-cassandra,3.8,50,euclidean,single,328,86.24161073825503
airbnb-lottie-android,2.6.0,100,l2,average,72,90.47619047619048
airbnb-lottie-android,2.6.1,100,l2,complete,72,90.47619047619048
airbnb-lottie-android,2.7.0,100,cosine,single,69,90.87301587301587
airbnb-lottie-android,3.0.0,150,manhattan,complete,34,95.5026455026455
airbnb-lottie-android,3.0.1,150,cosine,complete,34,95.5026455026455
airbnb-lottie-android,3.0.2,150,l2,complete,38,94.97354497354497
airbnb-lottie-android,3.0.3,150,l2,average,36,95.23809523809523
airbnb-lottie-android,3.0.4,150,l1,complete,43,94.31216931216932
airbnb-lottie-android,3.0.5,150,l2,complete,43,94.31216931216932
airbnb-lottie-android,3.0.6,150,euclidean,complete,40,94.70899470899471
apache-isis,1.15.0,50,cosine,single,505,85.587899543379
apache-isis,1.15.1,50,cosine,single,423,87.92808219178082
apache-isis,1.16.0,50,euclidean,single,507,85.53082191780823
apache-isis,1.16.1,50,cosine,single,401,88.55593607305936
apache-isis,1.16.2,50,cosine,single,396,88.6986301369863
apache-isis,1.17.0,50,cosine,single,442,87.38584474885845
apache-isis,1.6.0,50,cosine,single,2786,20.490867579908677
apache-isis,1.7.0,50,cosine,single,2771,20.918949771689498
apache-isis,1.8.0,50,cosine,single,3058,12.728310502283103
apache-isis,1.9.0,50,cosine,single,3097,11.615296803652964
apache-jmeter,2.7,50,euclidean,single,266,81.97831978319783
apache-jmeter,2.8,50,euclidean,single,272,81.57181571815718
apache-jmeter,2.9,50,euclidean,single,292,80.21680216802169
apache-jmeter,3.0,50,cosine,single,471,68.08943089430895
apache-jmeter,3.1,50,cosine,single,486,67.07317073170731
apache-jmeter,3.2,50,cosine,single,546,63.00813008130082
apache-jmeter,3.3,50,l2,single,504,65.85365853658536
