Instance,cbo_sum,wmc_sum,dit_sum,rfc_sum,lcom_sum,totalMethods_sum,staticMethods_sum,publicMethods_sum,privateMethods_sum,protectedMethods_sum,defaultMethods_sum,abstractMethods_sum,finalMethods_sum,synchronizedMethods_sum,totalFields_sum,staticFields_sum,publicFields_sum,privateFields_sum,protectedFields_sum,defaultFields_sum,finalFields_sum,synchronizedFields_sum,nosi_sum,loc_sum,returnQty_sum,loopQty_sum,comparisonsQty_sum,tryCatchQty_sum,parenthesizedExpsQty_sum,stringLiteralsQty_sum,numbersQty_sum,assignmentsQty_sum,mathOperationsQty_sum,variablesQty_sum,maxNestedBlocks_sum,anonymousClassesQty_sum,subClassesQty_sum,lambdasQty_sum,uniqueWordsQty_sum,modifiers_sum,cbo_max,wmc_max,dit_max,rfc_max,lcom_max,totalMethods_max,staticMethods_max,publicMethods_max,privateMethods_max,protectedMethods_max,defaultMethods_max,abstractMethods_max,finalMethods_max,synchronizedMethods_max,totalFields_max,staticFields_max,publicFields_max,privateFields_max,protectedFields_max,defaultFields_max,finalFields_max,synchronizedFields_max,nosi_max,loc_max,returnQty_max,loopQty_max,comparisonsQty_max,tryCatchQty_max,parenthesizedExpsQty_max,stringLiteralsQty_max,numbersQty_max,assignmentsQty_max,mathOperationsQty_max,variablesQty_max,maxNestedBlocks_max,anonymousClassesQty_max,subClassesQty_max,lambdasQty_max,uniqueWordsQty_max,modifiers_max,cbo_std,wmc_std,dit_std,rfc_std,lcom_std,totalMethods_std,staticMethods_std,publicMethods_std,privateMethods_std,protectedMethods_std,defaultMethods_std,abstractMethods_std,finalMethods_std,synchronizedMethods_std,totalFields_std,staticFields_std,publicFields_std,privateFields_std,protectedFields_std,defaultFields_std,finalFields_std,synchronizedFields_std,nosi_std,loc_std,returnQty_std,loopQty_std,comparisonsQty_std,tryCatchQty_std,parenthesizedExpsQty_std,stringLiteralsQty_std,numbersQty_std,assignmentsQty_std,mathOperationsQty_std,variablesQty_std,maxNestedBlocks_std,anonymousClassesQty_std,subClassesQty_std,lambdasQty_std,uniqueWordsQty_std,modifiers_std,cbo_mean,wmc_mean,dit_mean,rfc_mean,lcom_mean,totalMethods_mean,staticMethods_mean,publicMethods_mean,privateMethods_mean,protectedMethods_mean,defaultMethods_mean,abstractMethods_mean,finalMethods_mean,synchronizedMethods_mean,totalFields_mean,staticFields_mean,publicFields_mean,privateFields_mean,protectedFields_mean,defaultFields_mean,finalFields_mean,synchronizedFields_mean,nosi_mean,loc_mean,returnQty_mean,loopQty_mean,comparisonsQty_mean,tryCatchQty_mean,parenthesizedExpsQty_mean,stringLiteralsQty_mean,numbersQty_mean,assignmentsQty_mean,mathOperationsQty_mean,variablesQty_mean,maxNestedBlocks_mean,anonymousClassesQty_mean,subClassesQty_mean,lambdasQty_mean,uniqueWordsQty_mean,modifiers_mean,cosine,euclidean,l1,l2,manhattan
JodaOrg-joda-time_2.9,4154,12881,896,10798,158923,8738,740,7600,325,373,0,178,89,5,1730,1001,136,1425,2,0,1061,0,10362,85485,3645,290,1588,1465,1096,7578,47280,15354,4564,11219,362,78,145,0,42334,35989,79,203,17,197,6811,131,58,123,50,23,0,50,37,2,40,40,40,39,1,0,40,0,380,1618,142,97,121,53,62,502,2067,353,195,297,6,21,13,0,561,1025,8.909267440931941,35.910559678034154,2.1793304152056336,32.692973971672615,965.8512314462475,24.211283792497778,4.525524599030944,24.23951181097015,3.2861272371661023,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.1339318930462445,4.7174443575114875,2.6201500812390517,5.372379547842753,0.07784917299262985,0.0,4.533532120219502,0.0,52.751379682601375,286.05941203149075,18.57597659258191,5.613131625520219,9.91044112811553,9.070106312880121,7.500586875004764,60.29431454557608,297.05261496996417,64.50503117875328,27.300419807025943,47.631387285962816,1.1365463968575835,1.3654129175153102,1.4410089462959335,0.0,99.64938841563186,311.3218973704561,12.626139817629179,39.151975683890576,2.723404255319149,32.82066869300912,483.048632218845,26.559270516717326,2.2492401215805473,23.10030395136778,0.9878419452887538,1.1337386018237081,0.0,0.541033434650456,0.270516717325228,0.015197568389057751,5.258358662613982,3.0425531914893615,0.4133738601823708,4.331306990881459,0.0060790273556231,0.0,3.2249240121580547,0.0,31.49544072948328,259.8328267477204,11.0790273556231,0.8814589665653495,4.826747720364741,4.452887537993921,3.3313069908814588,23.033434650455927,143.70820668693008,46.66869300911854,13.872340425531915,34.10030395136778,1.1003039513677813,0.23708206686930092,0.44072948328267475,0.0,128.67477203647417,109.38905775075987,67.04861111111111,68.93518518518518,71.84027777777777,69.07407407407406,72.15277777777777
JodaOrg-joda-time_2.9.1,4154,12883,896,10799,158940,8739,740,7601,325,373,0,178,89,5,1731,1002,136,1426,2,0,1062,0,10363,85494,3645,291,1588,1465,1096,7578,47298,15358,4568,11223,362,78,145,0,42349,35989,79,203,17,197,6811,131,58,123,50,23,0,50,37,2,40,40,40,39,1,0,40,0,380,1618,142,97,121,53,62,502,2067,353,195,297,6,21,13,0,561,1025,8.909267440931941,35.90730703691574,2.1793304152056336,32.69266415980528,965.8323114976192,24.21014279511143,4.525524599030944,24.238555655207154,3.2861272371661023,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.132062816100827,4.71644635157273,2.6201500812390517,5.370771701743754,0.07784917299262985,0.0,4.532370945643067,0.0,52.751033085483144,286.05860076976694,18.57597659258191,5.612923606223038,9.91044112811553,9.070106312880121,7.500586875004764,60.29431454557608,297.07480122549435,64.50513992948362,27.306727201070558,47.63180810136659,1.1365463968575835,1.3654129175153102,1.4410089462959335,0.0,99.65572251072619,311.3218973704561,12.626139817629179,39.1580547112462,2.723404255319149,32.82370820668693,483.1003039513678,26.562310030395135,2.2492401215805473,23.103343465045594,0.9878419452887538,1.1337386018237081,0.0,0.541033434650456,0.270516717325228,0.015197568389057751,5.261398176291793,3.045592705167173,0.4133738601823708,4.334346504559271,0.0060790273556231,0.0,3.2279635258358663,0.0,31.498480243161094,259.86018237082067,11.0790273556231,0.8844984802431611,4.826747720364741,4.452887537993921,3.3313069908814588,23.033434650455927,143.7629179331307,46.680851063829785,13.884498480243161,34.11246200607903,1.1003039513677813,0.23708206686930092,0.44072948328267475,0.0,128.72036474164133,109.38905775075987,67.98611111111113,68.35648148148148,71.11111111111111,68.31018518518518,71.22685185185186
JodaOrg-joda-time_2.9.2,4154,12892,896,10801,159164,8745,740,7607,325,373,0,178,89,5,1732,1003,136,1426,2,0,1063,0,10378,85556,3645,291,1588,1466,1096,7599,47436,15372,4570,11237,360,78,145,0,42360,35989,79,203,17,197,6811,131,58,123,50,23,0,50,37,2,40,40,40,39,1,0,40,0,380,1620,142,97,121,53,62,502,2067,353,195,297,6,21,13,0,561,1025,8.909267440931941,35.91952768926015,2.1793304152056336,32.69931695812259,966.1256108101558,24.219405864543067,4.525524599030944,24.247902648685063,3.2861272371661023,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.131186253981703,4.716092676746942,2.6201500812390517,5.370771701743754,0.07784917299262985,0.0,4.531880219082659,0.0,52.782388361700654,286.15755095604254,18.57597659258191,5.612923606223038,9.91044112811553,9.06911317871383,7.500586875004764,60.40197883655742,297.2434180369909,64.54110596439621,27.305859104480863,47.68689465060029,1.1289956514363828,1.3654129175153102,1.4410089462959335,0.0,99.68708752878591,311.3218973704561,12.626139817629179,39.18541033434651,2.723404255319149,32.829787234042556,483.78115501519756,26.580547112462007,2.2492401215805473,23.121580547112462,0.9878419452887538,1.1337386018237081,0.0,0.541033434650456,0.270516717325228,0.015197568389057751,5.264437689969605,3.048632218844985,0.4133738601823708,4.334346504559271,0.0060790273556231,0.0,3.231003039513678,0.0,31.544072948328267,260.048632218845,11.0790273556231,0.8844984802431611,4.826747720364741,4.455927051671733,3.3313069908814588,23.09726443768997,144.1823708206687,46.723404255319146,13.890577507598785,34.15501519756839,1.094224924012158,0.23708206686930092,0.44072948328267475,0.0,128.75379939209728,109.38905775075987,68.02083333333331,68.85416666666667,70.81018518518516,69.13194444444444,70.63657407407408
JodaOrg-joda-time_2.9.3,4154,12895,896,10801,159251,8746,740,7608,325,373,0,178,89,5,1732,1003,137,1425,2,0,1063,0,10378,85567,3645,291,1588,1466,1096,7599,47469,15376,4574,11238,360,78,145,0,42361,35989,79,203,17,197,6811,131,58,123,50,23,0,50,37,2,40,40,40,39,1,0,40,0,380,1620,142,97,121,53,62,502,2067,353,195,297,6,21,13,0,561,1025,8.909267440931941,35.92597191142383,2.1793304152056336,32.69931695812259,966.4112553040665,24.22757646747066,4.525524599030944,24.256121340651344,3.2861272371661023,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.131186253981703,4.716092676746942,2.620249108305662,5.37181202622574,0.07784917299262985,0.0,4.531880219082659,0.0,52.782388361700654,286.20412500752815,18.57597659258191,5.612923606223038,9.91044112811553,9.06911317871383,7.500586875004764,60.40197883655742,297.48849491611935,64.55655475592069,27.32130899903431,47.698103619402325,1.1289956514363828,1.3654129175153102,1.4410089462959335,0.0,99.68842538545123,311.3218973704561,12.626139817629179,39.19452887537994,2.723404255319149,32.829787234042556,484.04559270516717,26.583586626139816,2.2492401215805473,23.124620060790274,0.9878419452887538,1.1337386018237081,0.0,0.541033434650456,0.270516717325228,0.015197568389057751,5.264437689969605,3.048632218844985,0.41641337386018235,4.331306990881459,0.0060790273556231,0.0,3.231003039513678,0.0,31.544072948328267,260.0820668693009,11.0790273556231,0.8844984802431611,4.826747720364741,4.455927051671733,3.3313069908814588,23.09726443768997,144.28267477203647,46.735562310030396,13.902735562310031,34.1580547112462,1.094224924012158,0.23708206686930092,0.44072948328267475,0.0,128.75683890577508,109.38905775075987,67.55787037037037,68.53009259259258,72.36111111111111,68.73842592592592,72.11805555555554
JodaOrg-joda-time_2.9.4,4154,12895,896,10803,159239,8747,740,7609,325,373,0,178,89,5,1732,1003,137,1425,2,0,1063,0,10385,85603,3645,291,1588,1467,1096,7599,47469,15378,4574,11241,360,80,145,0,42368,35989,79,203,17,197,6811,131,58,123,50,23,0,50,37,2,40,40,40,39,1,0,40,0,380,1620,142,97,121,53,62,502,2067,353,195,297,6,21,13,0,561,1025,8.909267440931941,35.93089361979464,2.1793304152056336,32.711187053817916,966.4139820349747,24.230837359264807,4.525524599030944,24.25956174942163,3.2861272371661023,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.131186253981703,4.716092676746942,2.620249108305662,5.37181202622574,0.07784917299262985,0.0,4.531880219082659,0.0,52.85671049607477,286.39447539557096,18.57597659258191,5.612923606223038,9.91044112811553,9.077863730215746,7.500586875004764,60.40197883655742,297.48849491611935,64.5657879540478,27.32130899903431,47.70852193749818,1.1289956514363828,1.375467894295549,1.4410089462959335,0.0,99.70176262648559,311.3218973704561,12.626139817629179,39.19452887537994,2.723404255319149,32.83586626139817,484.00911854103344,26.58662613981763,2.2492401215805473,23.127659574468087,0.9878419452887538,1.1337386018237081,0.0,0.541033434650456,0.270516717325228,0.015197568389057751,5.264437689969605,3.048632218844985,0.41641337386018235,4.331306990881459,0.0060790273556231,0.0,3.231003039513678,0.0,31.565349544072948,260.1914893617021,11.0790273556231,0.8844984802431611,4.826747720364741,4.458966565349544,3.3313069908814588,23.09726443768997,144.28267477203647,46.74164133738602,13.902735562310031,34.16717325227963,1.094224924012158,0.24316109422492402,0.44072948328267475,0.0,128.77811550151975,109.38905775075987,67.03703703703704,68.54166666666667,72.58101851851852,68.1712962962963,71.74768518518519
JodaOrg-joda-time_2.9.5,4153,12929,896,10824,160054,8764,739,7628,324,373,0,178,89,5,1736,1007,137,1427,2,0,1067,0,10410,85829,3646,291,1595,1471,1095,7653,47571,15436,4574,11293,360,80,145,0,42409,35989,79,203,17,197,6811,131,58,123,50,23,0,50,37,2,40,40,40,39,1,0,40,0,380,1628,142,97,121,53,62,502,2067,353,195,297,6,21,13,0,561,1025,8.903490757892886,36.01121135174764,2.1793304152056336,32.756105834172764,968.4496508256367,24.280999638305495,4.532759399825563,24.326143342242556,3.2791488392931947,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.135122244998827,4.719182505466934,2.620249108305662,5.371432495033922,0.07784917299262985,0.0,4.53460512454557,0.0,52.93615798862049,287.4193796654121,18.549109520613392,5.610207091045552,9.9385921267965,9.103734104531382,7.499298160751272,60.88677816534736,297.6709051141903,64.80385001065008,27.319523503258683,48.00775472825701,1.1289956514363828,1.375467894295549,1.4410089462959335,0.0,99.7252764081855,311.3218973704561,12.623100303951368,39.297872340425535,2.723404255319149,32.89969604863222,486.48632218844983,26.638297872340427,2.2462006079027357,23.185410334346503,0.9848024316109423,1.1337386018237081,0.0,0.541033434650456,0.270516717325228,0.015197568389057751,5.276595744680851,3.060790273556231,0.41641337386018235,4.3373860182370825,0.0060790273556231,0.0,3.243161094224924,0.0,31.641337386018236,260.87841945288756,11.082066869300911,0.8844984802431611,4.848024316109423,4.47112462006079,3.3282674772036476,23.26139817629179,144.59270516717325,46.91793313069909,13.902735562310031,34.32522796352583,1.094224924012158,0.24316109422492402,0.44072948328267475,0.0,128.90273556231003,109.38905775075987,67.4537037037037,68.90046296296296,72.22222222222221,68.8773148148148,72.38425925925927
JodaOrg-joda-time_2.9.6,4153,12935,896,10832,160099,8765,740,7628,325,373,0,178,89,5,1736,1007,137,1427,2,0,1067,0,10415,85847,3647,292,1595,1471,1096,7653,47576,15444,4572,11299,360,80,145,0,42415,35989,79,203,17,197,6811,131,58,123,50,23,0,50,37,2,40,40,40,39,1,0,40,0,380,1628,142,97,121,53,62,502,2067,353,195,297,6,21,13,0,561,1025,8.903490757892886,36.06841080485795,2.1793304152056336,32.79012624213974,968.5131067782894,24.283367652519054,4.5443486446080765,24.326143342242556,3.2851993330495657,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.135122244998827,4.719182505466934,2.620249108305662,5.371432495033922,0.07784917299262985,0.0,4.53460512454557,0.0,52.96168047685478,287.49090403890676,18.557722820550474,5.609997311468184,9.9385921267965,9.103734104531382,7.503025312188903,60.87656242690774,297.6655740285507,64.82748924645055,27.3256382739698,48.023691703013874,1.1289956514363828,1.375467894295549,1.4410089462959335,0.0,99.79680491990622,311.3218973704561,12.623100303951368,39.3161094224924,2.723404255319149,32.92401215805471,486.6231003039514,26.641337386018236,2.2492401215805473,23.185410334346503,0.9878419452887538,1.1337386018237081,0.0,0.541033434650456,0.270516717325228,0.015197568389057751,5.276595744680851,3.060790273556231,0.41641337386018235,4.3373860182370825,0.0060790273556231,0.0,3.243161094224924,0.0,31.656534954407295,260.93313069908817,11.085106382978724,0.8875379939209727,4.848024316109423,4.47112462006079,3.3313069908814588,23.26139817629179,144.6079027355623,46.94224924012158,13.896656534954408,34.34346504559271,1.094224924012158,0.24316109422492402,0.44072948328267475,0.0,128.9209726443769,109.38905775075987,68.2986111111111,68.76157407407408,70.68287037037038,69.07407407407408,70.61342592592592
JodaOrg-joda-time_2.9.7,4153,12935,896,10832,160099,8765,740,7628,325,373,0,178,89,5,1736,1007,137,1427,2,0,1067,0,10415,85847,3647,292,1595,1471,1096,7653,47576,15444,4572,11299,360,80,145,0,42420,35989,79,203,17,197,6811,131,58,123,50,23,0,50,37,2,40,40,40,39,1,0,40,0,380,1628,142,97,121,53,62,502,2067,353,195,297,6,21,13,0,561,1025,8.903490757892886,36.06841080485795,2.1793304152056336,32.79012624213974,968.5131067782894,24.283367652519054,4.5443486446080765,24.326143342242556,3.2851993330495657,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.135122244998827,4.719182505466934,2.620249108305662,5.371432495033922,0.07784917299262985,0.0,4.53460512454557,0.0,52.96168047685478,287.49090403890676,18.557722820550474,5.609997311468184,9.9385921267965,9.103734104531382,7.503025312188903,60.87656242690774,297.6655740285507,64.82748924645055,27.3256382739698,48.023691703013874,1.1289956514363828,1.375467894295549,1.4410089462959335,0.0,99.82936141808015,311.3218973704561,12.623100303951368,39.3161094224924,2.723404255319149,32.92401215805471,486.6231003039514,26.641337386018236,2.2492401215805473,23.185410334346503,0.9878419452887538,1.1337386018237081,0.0,0.541033434650456,0.270516717325228,0.015197568389057751,5.276595744680851,3.060790273556231,0.41641337386018235,4.3373860182370825,0.0060790273556231,0.0,3.243161094224924,0.0,31.656534954407295,260.93313069908817,11.085106382978724,0.8875379939209727,4.848024316109423,4.47112462006079,3.3313069908814588,23.26139817629179,144.6079027355623,46.94224924012158,13.896656534954408,34.34346504559271,1.094224924012158,0.24316109422492402,0.44072948328267475,0.0,128.93617021276594,109.38905775075987,68.58796296296299,69.36342592592592,70.92592592592594,69.12037037037038,70.78703703703704
JodaOrg-joda-time_2.9.8,4155,12940,896,10839,160354,8769,740,7632,325,373,0,178,89,5,1736,1007,137,1427,2,0,1067,0,10417,85911,3647,292,1596,1471,1096,7657,47721,15451,4583,11305,360,80,146,0,42425,35989,79,203,17,199,6811,131,58,123,50,23,0,50,37,2,40,40,40,39,1,0,40,0,380,1628,142,97,121,53,62,502,2067,353,195,297,6,21,13,0,559,1025,8.91606522752737,36.09070920991124,2.1793304152056336,32.83806420860092,969.4826927707531,24.315287929076877,4.5443486446080765,24.358360990978092,3.2851993330495657,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.135122244998827,4.719182505466934,2.620249108305662,5.371432495033922,0.07784917299262985,0.0,4.53460512454557,0.0,52.958956443046645,287.9054544924739,18.557722820550474,5.609997311468184,9.94032531974567,9.103734104531382,7.503025312188903,60.915960200359116,298.98655662476,64.897563802739,27.38242003778713,48.07913818696469,1.1289956514363828,1.375467894295549,1.4411311259162622,0.0,99.7186777934173,311.3218973704561,12.629179331306991,39.33130699088146,2.723404255319149,32.94528875379939,487.39817629179333,26.653495440729483,2.2492401215805473,23.19756838905775,0.9878419452887538,1.1337386018237081,0.0,0.541033434650456,0.270516717325228,0.015197568389057751,5.276595744680851,3.060790273556231,0.41641337386018235,4.3373860182370825,0.0060790273556231,0.0,3.243161094224924,0.0,31.662613981762917,261.1276595744681,11.085106382978724,0.8875379939209727,4.851063829787234,4.47112462006079,3.3313069908814588,23.273556231003038,145.04863221884497,46.963525835866264,13.930091185410335,34.361702127659576,1.094224924012158,0.24316109422492402,0.44376899696048633,0.0,128.95136778115503,109.38905775075987,67.21064814814815,68.90046296296298,71.875,68.81944444444444,71.9212962962963
ReactiveX-RxJava_2.2.11,22033,21123,3916,30019,485145,16074,880,14927,281,437,0,26,1232,2,2301,285,79,236,54,0,1542,0,28695,281167,3605,1554,792,1621,387,12531,36499,24192,1674,23312,1307,8517,1125,0,98675,61936,352,570,26,348,125751,502,125,497,17,4,0,4,372,1,29,26,6,6,10,0,13,0,1154,4273,520,53,27,100,16,672,629,421,166,418,10,209,37,0,1972,1025,17.557665015799,31.73834796278984,2.3375966138693043,31.760721990918622,4343.769536461534,26.935611710099497,5.508553538882827,26.664428457981487,0.8550754976786789,0.48490013885635835,0.0,0.1877303470303899,13.126903132483756,0.03496416697634667,2.238080344190881,0.9731150693201265,0.2854947761482059,0.5684133515197173,0.4081607203794095,0.0,1.5468430542105183,0.0,56.500509563001366,294.8483908926233,19.310424897033094,2.8425628397876403,1.9060478848972575,4.038211012029584,1.0598371058925569,32.379790462638326,57.32214707726651,30.675375940569424,5.488837550233972,29.784734411970586,1.3308778515706228,14.697322847696654,1.6655699549715006,0.0,92.33778917096073,173.71303483229747,13.475840978593272,12.919266055045872,2.395107033639144,18.360244648318044,296.72477064220186,9.831192660550458,0.5382262996941896,9.12966360856269,0.17186544342507645,0.2672782874617737,0.0,0.015902140672782873,0.7535168195718654,0.0012232415902140672,1.4073394495412843,0.1743119266055046,0.048318042813455656,0.14434250764525994,0.03302752293577982,0.0,0.9431192660550459,0.0,17.55045871559633,171.96758409785932,2.2048929663608563,0.9504587155963303,0.48440366972477067,0.9914373088685016,0.23669724770642203,7.664220183486239,22.32354740061162,14.796330275229359,1.0238532110091743,14.258103975535168,0.7993883792048929,5.209174311926605,0.6880733944954128,0.0,60.35168195718654,37.881345565749236,60.0948509485095,55.039359917408696,51.290489095367136,55.071622144792876,51.50987224157955
