project_name,version,bugs,bug_rating,vulnerabilities,vulnerability_rating,code_smells,code_smell_rating,duplication_perc,loc
google-dagger,2.9,42,e,3,b,1400,a,1.4,47000
google-dagger,2.8,11,e,3,b,1400,a,0.9,46000
google-dagger,2.1,42,e,3,b,1500,a,1.7,49000
dropwizard-metrics,3.2.6,7,d,6,b,915,a,7.8,25000
dropwizard-metrics,3.2.5,8,d,2,b,916,a,7.9,25000
dropwizard-metrics,3.2.4,8,d,2,b,913,a,7.8,25000
dropwizard-metrics,3.2.3,8,d,2,b,907,a,7.8,25000
dropwizard-metrics,3.2.2,8,d,2,b,885,a,7.8,24000
dropwizard-metrics,3.2.1,7,d,1,b,881,a,7.9,23000
dropwizard-metrics,3.2.0,7,d,1,b,877,a,8.1,23000
dropwizard-metrics,3.1.5,8,e,1,b,775,a,9.6,21000
dropwizard-metrics,3.1.4,8,e,1,b,773,a,9.6,21000
dropwizard-metrics,3.1.3,8,e,1,b,768,a,9.6,21000
dropwizard-metrics,3.1.2,8,e,1,b,758,a,9.8,21000
dropwizard-metrics,3.1.1,8,e,1,b,757,a,9.7,21000
dropwizard-metrics,3.1.0,8,e,1,b,749,a,9.1,20000
dropwizard-dropwizard,1.2.9,31,e,22,e,1400,a,4,53000
dropwizard-dropwizard,1.2.8,31,e,22,e,1400,a,4.1,53000
dropwizard-dropwizard,1.2.7,31,e,22,e,1400,a,4.1,53000
dropwizard-dropwizard,1.2.6,31,e,22,e,1400,a,4.1,53000
dropwizard-dropwizard,1.2.5,31,e,22,e,1400,a,4.1,53000
dropwizard-dropwizard,1.2.4,31,e,22,e,1400,a,4.1,53000
cryptomator-cryptomator,1.4.1,10,e,0,a,101,a,1.8,8200
cryptomator-cryptomator,1.4.0,10,e,0,a,102,a,1.8,8100
cryptomator-cryptomator,1.3.5,11,e,0,a,98,a,1.8,7800
cryptomator-cryptomator,1.3.4,11,e,0,a,98,a,1.8,7800
cryptomator-cryptomator,1.3.3,11,e,0,a,98,a,1.8,7800
cryptomator-cryptomator,1.3.2,11,e,0,a,98,a,1.8,7800
crate-crate,3.2.9,314,e,61,e,4300,a,1.9,209000
crate-crate,3.2.7,311,e,61,e,4300,a,1.9,209000
crate-crate,3.2.6,311,e,61,e,4300,a,1.9,209000
crate-crate,3.2.5,311,e,61,e,4300,a,1.9,209000
crate-crate,3.2.3,312,e,61,e,4300,a,1.9,208000
crate-crate,3.2.2,312,e,61,e,4300,a,1.9,208000
crate-crate,3.2.1,312,e,61,e,4300,a,1.9,208000
coobird-thumbnailator,0.4.8,9300,e,144,b,12000,a,27.7,55000
coobird-thumbnailator,0.4.7,9300,e,136,b,12000,a,27.8,55000
