file,class,method,variable,usage
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],container,4
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],before,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],totalTime,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],i,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],tableAppender,4
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],args,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],button,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],runLength,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],model,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],after,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],event,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],sp,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],frame,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,main/1[java.lang.String[]],bufferSize,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,"getValueAt/2[int,int]",dummy,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,"getValueAt/2[int,int]",col,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,"getValueAt/2[int,int]",appenderTable,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,"getValueAt/2[int,int]",row,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,"getValueAt/2[int,int]",counter,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,insert/1[org.apache.log4j.spi.LoggingEvent],event,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,AppenderTableModel/1[int],size,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,actionPerformed/1[java.awt.event.ActionEvent],event,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,doAppend/1[org.apache.log4j.spi.LoggingEvent],event,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,doAppend/1[org.apache.log4j.spi.LoggingEvent],cb,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\AppenderTable.java,JTableAddAction,JTableAddAction/1[AppenderTable],appenderTable,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,"endElement/3[java.lang.String,java.lang.String,java.lang.String]",localName,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,"endElement/3[java.lang.String,java.lang.String,java.lang.String]",qName,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,"endElement/3[java.lang.String,java.lang.String,java.lang.String]",namespaceURI,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,setDocumentLocator/1[org.xml.sax.Locator],locator,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,endPrefixMapping/1[java.lang.String],prefix,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,DC/1[org.xml.sax.ContentHandler],chandler,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,"processingInstruction/2[java.lang.String,java.lang.String]",data,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,"processingInstruction/2[java.lang.String,java.lang.String]",target,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,main/1[java.lang.String[]],args,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,main/1[java.lang.String[]],result,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,main/1[java.lang.String[]],reader,7
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,main/1[java.lang.String[]],templates,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,main/1[java.lang.String[]],cat,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,main/1[java.lang.String[]],transformer,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,main/1[java.lang.String[]],chandler,4
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,main/1[java.lang.String[]],serializer,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,main/1[java.lang.String[]],fos,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\testapachelog4j\testapachelog4j-1.3alpha-7\contribs\CekiGulcu\Transform.java,org.apache.log4j.xml.DC,main/1[java.lang.String[]],processor,1
